action sequence,time,account,actor,from,to,quantity,txID
13563,2022-05-02T23:05:14.000,martia,bank.mars,bank.mars,martia,193505.5122,3368ae46a8c3af429525a45f7b5c09e29ecec908fb89b575111aa66e0a6f4227
13558,2022-05-02T22:05:12.500,martia,bank.mars,bank.mars,martia,193478.6996,1ac0fff002d1b52b8579fab240f7f19a7541e8f6de464eb13ee127769d331dad
13553,2022-05-02T21:05:15.500,martia,bank.mars,bank.mars,martia,193472.7333,b14bf3fa6c48dce55d9ab8686549349e210b4a9c7a5f2687adf54d5b0f7c0df8
13548,2022-05-02T20:05:17.000,martia,bank.mars,bank.mars,martia,193463.1709,0f321475e4ac9732373b41a5f0bbb2619161eedd4a3844852645df50e09b6e35
13540,2022-05-02T19:05:00.500,martia,bank.mars,bank.mars,martia,193463.1461,7b7856fb0b9e86d28701df842ae6f2a4ee200b3a675bc13fd6d6a687a810c07b
13532,2022-05-02T18:52:40.500,martia,bank.mars,bank.mars,martia,193467.3196,6c2836578134178f9168d7959f7f1b11e75eef1e58cdfbf8222bb2bd5adb694a
13524,2022-05-02T18:42:40.000,martia,bank.mars,bank.mars,martia,193471.4932,ebf73bb8fd2764adc3d8506d9cde170528761b87fdfe1d3edc3855f5817a6064
13522,2022-05-02T18:32:40.500,martia,bank.mars,bank.mars,martia,193475.5453,2491c8e021935d427ce3ea38a465bcde4b272ed3c7e1e0d9789202363e84a367
13514,2022-05-02T18:22:41.000,martia,bank.mars,bank.mars,martia,193479.7191,35051237fdbd8ae12a299586e66c9f3643689d5b2ae1b80e99471f02854ed3cc
13506,2022-05-02T18:12:43.500,martia,bank.mars,bank.mars,martia,193483.8930,207391ba123c8cc216ab61086f0063324f16c8909339fc32e858938cf5e06d44
13501,2022-05-02T18:05:00.000,martia,bank.mars,bank.mars,martia,193487.2240,19af7f49e01296ebc469e7fc325a47ca9d9eec68d5fca8323c3b401b0c1bf024
13496,2022-05-02T17:04:57.500,martia,bank.mars,bank.mars,martia,193486.6757,e469956a0cfd482d9225e3187ad25c19f11ac11a6743255c6442f3a4aa0a426c
13491,2022-05-02T16:10:51.000,martia,bank.mars,bank.mars,martia,193474.8030,99265c3ff8e1f8cfc2b9429e37b4bfb4d2e739cd0f5e988abc25ae37a2573e34
13489,2022-05-02T15:12:04.500,martia,bank.mars,bank.mars,martia,193471.2307,2dd220398226c7dd26f5a65336afea799ec84fb9af13a0915f594a353faeeb74
13481,2022-05-02T12:08:35.500,martia,bank.mars,bank.mars,martia,193467.6990,db3d9a3d9c0619dda134657ea643ed8631e583bebf9e5c7615a4476b95c43052
13476,2022-05-02T11:10:49.000,martia,bank.mars,bank.mars,martia,193466.2551,e4b7de20c999c6b52a1d888307b19976e09c1a08702c1a272db9f963840a7f56
13471,2022-05-02T09:07:32.500,martia,bank.mars,bank.mars,martia,193462.9711,33479821877febb6da295aae112fb5df1737d238985ca6dea393c0b7b825edf2
13470,2022-05-02T09:07:32.500,martia,bank.mars,bank.mars,martia,193462.9711,33479821877febb6da295aae112fb5df1737d238985ca6dea393c0b7b825edf2
13466,2022-05-02T08:07:19.500,martia,bank.mars,bank.mars,martia,193466.0251,51929b5562a909414e79b436179915768aa73608e0a9cdaca6b151192625af25
13461,2022-05-02T07:10:05.000,martia,bank.mars,bank.mars,martia,193467.7147,056352fdf5cd096b46ed1cba96e313ff23a7decf7aae496f36e6ba567e03ea50
13456,2022-05-02T06:07:42.000,martia,bank.mars,bank.mars,martia,193463.9987,5a5cad1ffed0824cb3aa8b7b3c57c1ae63fbb3b9eee415f544af6465a9237151
13451,2022-05-02T05:07:59.000,martia,bank.mars,bank.mars,martia,193464.1961,9ae24e011b3f8abacb6b31e015e1296e7e35547bbdaf4b04b0953771a1df5c8d
13449,2022-05-02T04:07:18.000,martia,bank.mars,bank.mars,martia,193467.7971,504751e204a676d04f38a01d46a8bd1a80c74f2cb5ea0b6d6eb41a2ba389b740
13444,2022-05-02T03:06:39.000,martia,bank.mars,bank.mars,martia,193471.1601,dfee17cd8ff16683d7abbf9b65126a504c8587a8ed95584205aeb2360d7604e6
13439,2022-05-02T02:07:03.500,martia,bank.mars,bank.mars,martia,193474.4684,3b853b6a31876dd7ac6702469f2c7387f2b8ba72b12c7b9ef4b5046915651e9a
13434,2022-05-02T01:05:58.000,martia,bank.mars,bank.mars,martia,193456.3860,623b1d561f65f5e98d5dd7b8e51e009dc279c928faf88d49b2303e44a400b650
13432,2022-05-02T00:05:57.500,martia,bank.mars,bank.mars,martia,193458.0031,8a9aa69ea6e97be6bc61bf12ed00a7968d1fa46824feea051ae9840ba45ca858
