action sequence,time,account,actor,from,to,quantity,txID
2574,2021-12-22T23:00:17.000,martia,bank.mars,bank.mars,martia,160463.4451,21a5830a0623d650e65ef102ea16ec3f85ddabcc09588475f230234954c1b8d0
2572,2021-12-22T22:00:15.000,martia,bank.mars,bank.mars,martia,160243.3811,db7f45365416f1e5f8418d69d79d6c2ff89f0a27e1bd517dcd0cf5ca383b1330
2570,2021-12-22T21:00:15.500,martia,bank.mars,bank.mars,martia,159984.5461,529726c7162277768f4c8f555ee92d8bc2a92e97afe7f0bbf4d1ff3f6cbfe2d3
2568,2021-12-22T20:00:15.000,martia,bank.mars,bank.mars,martia,159852.9517,76a90cd801e70271162f0d0a43a361ed8933b4cf3479a3c4611be35c67d6a8d9
2566,2021-12-22T19:00:15.000,martia,bank.mars,bank.mars,martia,159698.5933,67559d13c5a7a8435b0443bbd0f57780d2687a5d3705b88e9d5df767ee190d0b
2564,2021-12-22T18:00:16.500,martia,bank.mars,bank.mars,martia,159604.5886,563d4d19b37a1a85f4a995aae5c529822f7237854c45c36ba93d3f99faf1d442
2562,2021-12-22T17:00:15.000,martia,bank.mars,bank.mars,martia,159479.5408,891e1da1666bbdfa97eb8563da1a9a1dfadaaf100b5f821f6450679e340c87c8
2560,2021-12-22T16:00:16.500,martia,bank.mars,bank.mars,martia,159199.4525,f11e55a3b1299edd39ef23c398c40d017f0a020d13aaf981baebbf1979542355
2558,2021-12-22T15:00:16.500,martia,bank.mars,bank.mars,martia,158974.9797,098d1cab65390db21684b5a957259cc4545cf3d47f5aefb7e2248aa5f9f00e0b
2556,2021-12-22T14:00:15.500,martia,bank.mars,bank.mars,martia,158859.1953,9a45e5570002161accea2ea84d4f0bab159fb97daad46c88a05027c527a9b74d
2554,2021-12-22T13:00:16.000,martia,bank.mars,bank.mars,martia,158726.1744,36293200d08ef05ba63df8ef20ddf1ab981bf5b43a73b65d63014def77ded6a4
2552,2021-12-22T12:00:16.000,martia,bank.mars,bank.mars,martia,158600.2440,71721a982094b25d154add80356c0e6ac24b0781eda33f4a42a3c1be4f172493
2550,2021-12-22T11:00:16.000,martia,bank.mars,bank.mars,martia,158492.3328,6ee98d7d7724cfb28daeb19d850ef4c507b4332f58d459c7fd7560a07d8019dd
2548,2021-12-22T10:00:14.500,martia,bank.mars,bank.mars,martia,158320.8110,834cfd4c5b144822d35ef68fa51bcb75808a4e9fa5c68b8ef25f64d9515e090d
2546,2021-12-22T09:00:15.500,martia,bank.mars,bank.mars,martia,158198.0394,36d739eb83fe6cf14405cbd4bee413acce913ed94082d058aa6307871c04f657
2544,2021-12-22T08:00:14.000,martia,bank.mars,bank.mars,martia,158123.5867,48f14d8f2f47e8f268ffe3f96ff0de580d0f2e0e549302df0e7270465e908957
2542,2021-12-22T07:00:15.500,martia,bank.mars,bank.mars,martia,157987.8595,758bb87210b4b84654bd64ba833fdf1cbdedf74d3ee7560557d5d3a72a121619
2540,2021-12-22T06:00:16.500,martia,bank.mars,bank.mars,martia,157785.5373,8b64330d8b707256bf3406d4afe050b688e4e74a8927810cd5bd0b1a5d03968f
2538,2021-12-22T05:00:15.500,martia,bank.mars,bank.mars,martia,157618.6562,d562e9e0b883603f232f07c57dea1752c793fc19b8661d8954144cf2391fc685
2536,2021-12-22T04:00:14.500,martia,bank.mars,bank.mars,martia,157480.1702,9e256661e09385bcef363d3a032db9810dc990837dd1a86655b7e9c4f864a6b6
2534,2021-12-22T03:00:15.500,martia,bank.mars,bank.mars,martia,157315.8962,b2135556254c3e264b8840e379227dfcf53843099568ea73865b2f043c046aa3
2532,2021-12-22T02:00:15.000,martia,bank.mars,bank.mars,martia,157234.9760,09e181737aa065afe52dd5e38d3da9ea73c4b0516b9d9f2817deba9685057500
2530,2021-12-22T01:00:14.500,martia,bank.mars,bank.mars,martia,156941.3079,8853bf01885f8d2040d1a240147f12ec6477dc7e7c15fc118a02546fce5a72ea
2528,2021-12-22T00:00:16.000,martia,bank.mars,bank.mars,martia,156693.7050,71f18ffda057e56d1016e3cc5daa143b6bd0abb36abf19a6cf861f7ff8e54c8a
