action sequence,time,account,actor,from,to,quantity,txID
6714,2022-03-06T23:05:19.000,martia,bank.mars,bank.mars,martia,189557.3828,c07e618647e26c63294503477c0b8660152ed2c07806737760f23639684c9fa2
6709,2022-03-06T22:05:23.500,martia,bank.mars,bank.mars,martia,189558.1431,9e3234e83c078f40ebd7a325361136ba0084a844f0c6b3d1974304c94a8436a7
6704,2022-03-06T21:05:15.500,martia,bank.mars,bank.mars,martia,189544.1862,205b6967287af293048630aae40e04c6439fe25846bf5fcf4a931eb66cb8ab99
6699,2022-03-06T20:05:16.000,martia,bank.mars,bank.mars,martia,189543.7128,0b9f8ff943d90cd21f528bef2c9b8e0735fa44bcafaae90f17ebf7790ef1a003
6694,2022-03-06T19:05:13.000,martia,bank.mars,bank.mars,martia,189540.4765,1b5a478886c1391156008041bd115e0a83cb773918f24c207513364ca478f3c3
6689,2022-03-06T18:05:20.000,martia,bank.mars,bank.mars,martia,189532.9873,9e9b8403652df5e50d7095728bdffa63de30797dc21135a8d2c889b91b5d266b
6684,2022-03-06T17:05:15.500,martia,bank.mars,bank.mars,martia,189515.6871,e96fb2f721222a46b80949449028f133c453a9b4a4a97adbfe34a1ec4ba80693
6679,2022-03-06T16:05:12.000,martia,bank.mars,bank.mars,martia,189508.0171,9e4acf1cab93c481cde4353c9807cfa371d7608e5e68f818c53ee0cf999f83d2
6674,2022-03-06T15:05:12.500,martia,bank.mars,bank.mars,martia,189501.7721,1fe0e71d6e3af6d2f5bb478c13438a125448524bcc82aa6c046f586b0f105fbb
6669,2022-03-06T14:05:12.000,martia,bank.mars,bank.mars,martia,189493.3172,33f14b97e3bb18ddc8901b28fb8a15408a19f10b86c45cae5e9044564f895eb8
6664,2022-03-06T13:05:31.500,martia,bank.mars,bank.mars,martia,189488.9755,2d788a01ed70b91f113a01def281a5ad30d906345c1a00728e5d7ac35d39e0ce
6659,2022-03-06T12:05:17.000,martia,bank.mars,bank.mars,martia,189483.9807,a300bc2c9b9006c3d23600cb3767442322a18650acdc17c64922cb2c8d9c0e1e
6654,2022-03-06T11:05:18.000,martia,bank.mars,bank.mars,martia,189480.5022,68d8d11cb08ce9fe86a9d035a0779202da61d1c5c55cf9669b6ecb87d57d5503
6649,2022-03-06T10:05:15.000,martia,bank.mars,bank.mars,martia,189472.3875,6d062244df56e66c6a94b80af7afaf774c7b7bff584181c5e1887097e31a8754
6644,2022-03-06T09:05:12.500,martia,bank.mars,bank.mars,martia,189469.6998,afd2e92b204154b7508a0eb74cb03209f5fc8a7296878f0c1212055735ecfd97
6639,2022-03-06T08:05:10.500,martia,bank.mars,bank.mars,martia,189456.9857,97240f3eedf3c78d8411ff4d60f02d9574659ad2d75543d35792d9e1a7be4c6f
6634,2022-03-06T07:05:16.500,martia,bank.mars,bank.mars,martia,189449.5780,249eb68ecd09f858ba97a72140c0d0d32c527ab7b038f844bbcb980f92f9f2d7
6629,2022-03-06T06:05:12.500,martia,bank.mars,bank.mars,martia,189413.1788,e3bce3e4c35c35215cd6d23a586535a75bc1c63a3958f9887640ad7a2794e028
6624,2022-03-06T05:05:15.000,martia,bank.mars,bank.mars,martia,189385.9078,17856b4c8ee3131f993c5e82506da89589119ff7b5022137b58a344abab63dcf
6623,2022-03-06T05:05:15.000,martia,bank.mars,bank.mars,martia,189385.9078,17856b4c8ee3131f993c5e82506da89589119ff7b5022137b58a344abab63dcf
6619,2022-03-06T04:05:10.500,martia,bank.mars,bank.mars,martia,189386.6453,fd4971b2e6c11471e2539aadface411d730493c380b74fa4c1fc020eef113ddb
6614,2022-03-06T03:05:11.500,martia,bank.mars,bank.mars,martia,189386.2243,60492f44c644343a375da711619191378fcac493e1dafc58d42c7bff4642c979
6609,2022-03-06T02:05:10.500,martia,bank.mars,bank.mars,martia,189383.4487,3e9f20b2c813dcf41c38951b593caaca5356f410cacf41ddd7719d7c895d4ad6
6604,2022-03-06T01:05:10.500,martia,bank.mars,bank.mars,martia,189383.0673,30875e8883664dbfa21f9d599719d411b505260c044362d039825298da84316f
6599,2022-03-06T00:05:44.000,martia,bank.mars,bank.mars,martia,189384.5800,953b8bc7ed1c1bfcce2caac63e672cb72f4b49a1d632566ab5b0d597f14fea45
