action sequence,time,account,actor,from,to,quantity,txID
12485,2022-04-23T23:05:15.000,martia,bank.mars,bank.mars,martia,192299.7361,485fb65f07898d15e231decc3899aa22549de5e63456625059d76bec16c4e80b
12480,2022-04-23T22:05:12.000,martia,bank.mars,bank.mars,martia,192289.5528,2ee8f93942dd23e2fd7da9cf5a7ed131c82b74ae521c7844a2bb9ba5a743be08
12475,2022-04-23T21:05:11.500,martia,bank.mars,bank.mars,martia,192283.7585,06d53346b5cbff887ad7065f2aee17bc6519ba7a195f8b5bdb43f2405045aaa1
12470,2022-04-23T20:05:09.000,martia,bank.mars,bank.mars,martia,192283.7863,574fdb8a37b0713d9e0b05058f9a98584087db16f38787e9e3fdb4ef59092eeb
12465,2022-04-23T19:05:18.500,martia,bank.mars,bank.mars,martia,192275.1489,6a827131249c319fc998914d8df834ec7e724e93a85e28a23a928e39d59dd84c
12460,2022-04-23T18:05:12.000,martia,bank.mars,bank.mars,martia,192272.9992,498bbec9cd2b0bc4a7e53f5f9a9ccaaecdd59c0468c6b9d5da365afb7a64d991
12455,2022-04-23T17:05:15.500,martia,bank.mars,bank.mars,martia,192274.7721,7a3c34f56dc1acc29930f6fe7cf7490cb18d38099cf1d70e1768f61c640f5a58
12450,2022-04-23T16:05:10.500,martia,bank.mars,bank.mars,martia,192269.8788,19f0a5d65f0c0f221c5a83b3f4169c738c69acdde47899a10f74497493d877d2
12445,2022-04-23T15:05:14.000,martia,bank.mars,bank.mars,martia,192269.1299,c5f6401d618fb85d03bda05ab79d0aa053d77ced61cb484bcbb0ffd564d503aa
12440,2022-04-23T14:05:12.500,martia,bank.mars,bank.mars,martia,192278.3936,a9cc7f8d49207a1891ca3a358af0cd3f41c6c82b6a271bac865f2f36e4a26966
12435,2022-04-23T13:05:17.000,martia,bank.mars,bank.mars,martia,192279.5293,95643ff87b841c2fa10569321f09b8096a02a2dee2900ae588013b35e98dbfde
12430,2022-04-23T12:05:11.500,martia,bank.mars,bank.mars,martia,192276.8748,c22b77fffa55ee0f8f85c18ae02695b4925d04071d8d14c7794e1231d16e264e
12425,2022-04-23T11:05:08.000,martia,bank.mars,bank.mars,martia,192272.5779,3921cee219bc424e6f8b6c7ac89bd129b81062e8b2d9af3ba04230ff7a136a65
12420,2022-04-23T10:05:18.000,martia,bank.mars,bank.mars,martia,192271.8152,5a97cc6d3bda2c61dd6f7d0ac1f4cb34bcda0ecdf6014590eea2921e25700e21
12415,2022-04-23T09:05:07.000,martia,bank.mars,bank.mars,martia,192274.1717,b30aa39df8f293bfbd93ae7c5173be479dbaa545707c004bb4452fc9f3f62616
12410,2022-04-23T08:05:13.500,martia,bank.mars,bank.mars,martia,192274.1579,e06da329236ffcab8c17c3ce42f9565e80a2a3c6ce111ac19f2d82cd9e7dbb47
12405,2022-04-23T07:05:16.000,martia,bank.mars,bank.mars,martia,192271.0974,faff00355b0dc0ae2483d71d59de26f0393bfe91ac72f1fd3588c8c800d638fa
12400,2022-04-23T06:05:19.500,martia,bank.mars,bank.mars,martia,192275.0512,fca6e80ce2ac4aa3bd9e4a5cb9ec76838197cd9ba5fefe5f2c995650cdef68e8
12395,2022-04-23T05:05:15.500,martia,bank.mars,bank.mars,martia,192273.6950,1ddf3aa89ea86b4fb7782ba5693744fa211cdb1cced4a1e1fa575204162dd463
12394,2022-04-23T05:05:15.500,martia,bank.mars,bank.mars,martia,192273.6950,1ddf3aa89ea86b4fb7782ba5693744fa211cdb1cced4a1e1fa575204162dd463
12390,2022-04-23T04:05:15.500,martia,bank.mars,bank.mars,martia,192276.3853,72ff1ad4b2f9d17fa559536a8a888cba6f004908850a03e3c6f40126daa94995
12385,2022-04-23T03:05:14.500,martia,bank.mars,bank.mars,martia,192278.0468,6ec3b39650b5712f1d0ead97ea24aad9ef9504c5a34a68b19bac5b4b8d020a3e
12380,2022-04-23T02:05:09.000,martia,bank.mars,bank.mars,martia,192276.6536,a8b60748efacce3319ad24757242bb534a78c3c1790cbe69e325963e3ca52e0f
12375,2022-04-23T01:05:09.000,martia,bank.mars,bank.mars,martia,192279.6778,4529582b26683470d9ef74872659b956624cdee9e4b905e21827d1d30469cb8a
12370,2022-04-23T00:05:12.500,martia,bank.mars,bank.mars,martia,192276.6289,15bfd94cf86d8839b21218f5c7464891e690f027a54be5016f436454c6361107
