action sequence,time,account,actor,from,to,quantity,txID
5576,2022-02-22T23:01:20.500,martia,bank.mars,bank.mars,martia,188389.9851,cd29270d81a9f779e5133cb3bcbe5ca7b86dee6ae7a4fe120fc232c1e64c187f
5568,2022-02-22T22:01:31.000,martia,bank.mars,bank.mars,martia,188373.2859,9764d25b29dbf19c01139233a5262c3df4d930f107dd93f708168d489eb56cd2
5560,2022-02-22T21:01:30.000,martia,bank.mars,bank.mars,martia,188377.1086,08ad50a1e6834f30f6b1d77626db1a89595f727e2a0b476cc158d90b44d858d4
5552,2022-02-22T20:01:31.000,martia,bank.mars,bank.mars,martia,188380.9314,7e1ae523edd9c87b657c359c555d826983b8de2438fbeeaa8ce1257a15b81db8
5550,2022-02-22T19:01:00.500,martia,bank.mars,bank.mars,martia,188384.6429,b2cf7d9ecde0fe96203a5f00ab539a666cf314008e03a7a94ca7ff9f93982562
5545,2022-02-22T18:01:02.500,martia,bank.mars,bank.mars,martia,188388.4102,ac8b48841081527d62d261675ffa7626275edd9c5471e9785b0fc334fa1ac0d1
5543,2022-02-22T17:01:22.000,martia,bank.mars,bank.mars,martia,188392.1219,1fb71284275ad58bccc0bd650b6ba26ca78e1c4c9cb74f8a47fcd4fd4f544822
5541,2022-02-22T16:01:24.000,martia,bank.mars,bank.mars,martia,188395.8336,56110e4d826a31a4d46aa5a183db798575ffb714e5dd9681c8e1fc9d4863b27d
5539,2022-02-22T15:01:22.500,martia,bank.mars,bank.mars,martia,188399.4351,338ce982db37cdd54f5dcfdb9df85579dad2e1ccf703d93026284860ef188f17
5537,2022-02-22T14:01:10.500,martia,bank.mars,bank.mars,martia,188401.3665,6141b842f28614c87b15363877ae496bb21ce6c048bf13ee2002849626498b63
5535,2022-02-22T13:01:10.000,martia,bank.mars,bank.mars,martia,188396.8428,80b14dff9e97482873c17312efeffef9277020608137c81b1731e770cbd4ec79
5533,2022-02-22T12:01:08.500,martia,bank.mars,bank.mars,martia,188400.4469,f190050abb1f1d42915ad19c28749ff1f56cdfbc22d5114f3a4b1ab530327ef6
5531,2022-02-22T11:01:11.000,martia,bank.mars,bank.mars,martia,188403.4404,3cabe6cb0e33592de75ea26a07d41895bf2a890928e07e59d9d6dfa60306bb45
5529,2022-02-22T10:01:06.000,martia,bank.mars,bank.mars,martia,188407.2248,ce597f2730e68fb44818dee1aebf6da36ea7b47103db07da1f5f673614982da6
5527,2022-02-22T09:01:04.500,martia,bank.mars,bank.mars,martia,188411.0630,90deef932412701e1564c62087e96e3407891bbd06e909a7cfd4f0692ce760e5
5525,2022-02-22T08:01:06.500,martia,bank.mars,bank.mars,martia,188401.9576,c15c09abf0003460bdf2e4e6f1e5f7af4bd6887540da3346458c8b8ca3167403
5523,2022-02-22T07:00:58.000,martia,bank.mars,bank.mars,martia,188405.3840,1f03bee3bdb2ed456fd15d703aca47f61dd9140c9f57323feb6df7103ec10a55
5521,2022-02-22T06:00:59.500,martia,bank.mars,bank.mars,martia,188408.8561,6cafbda7944090888112f04565460fff4cbc137ef17403225d0c1b9a5b296154
5519,2022-02-22T05:00:59.000,martia,bank.mars,bank.mars,martia,188409.8992,c79d0bf8b3ebf9a500e74c9d301e55a5dad6bda1951f04bb90a7cd5c7e22d973
5517,2022-02-22T04:00:57.000,martia,bank.mars,bank.mars,martia,188410.5333,7b8c939ae6695513f9c701cd327db8af505afbc0d81a8f97bdddf27896d020bd
5515,2022-02-22T03:00:56.000,martia,bank.mars,bank.mars,martia,188413.2226,6096f5abc4a6963d87025fd1180c7ade5292618a1a341f0190ac12783b068d8a
5513,2022-02-22T02:00:56.000,martia,bank.mars,bank.mars,martia,188415.8419,a08725d7dfd9d13903d1b6034a9afe7ccd806dbd12dbe8d7620a3681c3efed78
5511,2022-02-22T01:00:55.500,martia,bank.mars,bank.mars,martia,188419.0773,825d05c725d9081c15897d890e74c95f88510cd8578b347bdd2dcf381419f652
5509,2022-02-22T00:00:54.500,martia,bank.mars,bank.mars,martia,188421.7316,8629284c61bebc142f39643c85ec20a30ee2ed9bb119cc7ddd059b7023ec500b
