action sequence,time,account,actor,from,to,quantity,txID
19081,2022-06-17T23:05:13.500,martia,bank.mars,bank.mars,martia,195917.0780,695ec1fa013e123c1affd0f1ccf95bb670e902cb3805deb089a40f1766ddbca3
19076,2022-06-17T22:05:04.500,martia,bank.mars,bank.mars,martia,195909.9126,b5887a411c79c50fea6b21b3fab9072516b8784650d537ecc5228e72a06e9450
19071,2022-06-17T21:04:59.000,martia,bank.mars,bank.mars,martia,195912.0407,8d18b4723ba1eb1f180e7bece7cf7d3e956f238637c7e4112940ec25be757865
19066,2022-06-17T20:04:57.500,martia,bank.mars,bank.mars,martia,195913.3848,0b20a5f82b21d46da8fa2e0b7df677d59ebe714d41e20aa40f9dd5bc0407810c
19061,2022-06-17T19:05:01.500,martia,bank.mars,bank.mars,martia,195914.1125,743f82bc1f476838ed54e0119f10439620f466b5ad483b0ecf5d4f93fc891508
19056,2022-06-17T18:04:59.000,martia,bank.mars,bank.mars,martia,195918.3382,4b29746f5e1cce13e14e3799e9f56bab445c8c5d7e7bb39648a31d786d603fca
19051,2022-06-17T17:04:59.500,martia,bank.mars,bank.mars,martia,195919.4741,90f343f4dd0403cd20f8cb6227e0bd65c8709ebbbe121f7be2e016928ed47141
19046,2022-06-17T16:05:10.000,martia,bank.mars,bank.mars,martia,195921.6476,0db2a33842205425fbf1aeb463db191374ca044ba038f4c09864ffa9fc1b9f70
19041,2022-06-17T15:05:09.000,martia,bank.mars,bank.mars,martia,195924.5059,1b13f38259d5a789e2d92502460bb57ca6f0ee64a7a1db11f454535cbcd640ae
19036,2022-06-17T14:05:07.000,martia,bank.mars,bank.mars,martia,195922.4273,0ce2cd562f9ef0ef1865104492008c9067046c4fb720ded196fd3863adf29f28
19031,2022-06-17T13:05:04.500,martia,bank.mars,bank.mars,martia,195925.2854,f262c989e6441a6609498d4bd92a29ef2e3eaf1869813cdf014146a80fe95b35
19026,2022-06-17T12:05:02.500,martia,bank.mars,bank.mars,martia,195921.2325,13265255433d9b2e861d1397265d55520fe4e4f01a737b9f6a0fe759dec3ebe6
19021,2022-06-17T11:04:58.000,martia,bank.mars,bank.mars,martia,195920.6372,e3e7153beff53ee52bb20315ecc21744954a983ee094404e75d27a1f69077ea7
19016,2022-06-17T10:05:02.500,martia,bank.mars,bank.mars,martia,195924.9563,3ab9ec4f172a18df60cca21cac36a57d0b1359d97ce3fe13c7a7d3bc405b48e7
19011,2022-06-17T09:04:59.000,martia,bank.mars,bank.mars,martia,195926.9159,536020a0d89cb6efa1675e23a1c9f98f0bb11db4393937fef7ec6a61f3146e22
19006,2022-06-17T08:04:58.500,martia,bank.mars,bank.mars,martia,195922.1261,024946ddcc66f02fbb5853fd1e6ee5372a3e542aa578404c17fa3b0c61649a26
19001,2022-06-17T07:05:08.500,martia,bank.mars,bank.mars,martia,195924.2526,d523aaeb2b42e1a4a371a229168edb855f125cbc7a57a8bee158157c101c7f05
18996,2022-06-17T06:04:56.500,martia,bank.mars,bank.mars,martia,195920.3655,9a312b24263a0270019b690eaeeb0acd8b985b319e03a20734e21f74a47706f5
18991,2022-06-17T05:04:57.000,martia,bank.mars,bank.mars,martia,195907.2059,ccef19fd6634a3e98fed11cd1c618289f60b5b7c0bc635a1a030487a2cdf96a8
18990,2022-06-17T05:04:57.000,martia,bank.mars,bank.mars,martia,195907.2059,ccef19fd6634a3e98fed11cd1c618289f60b5b7c0bc635a1a030487a2cdf96a8
18986,2022-06-17T04:05:04.000,martia,bank.mars,bank.mars,martia,195901.8177,c4c14cb7fe30b33d7fb39e9cc89c7f0f3af0b8aa59079615b282ddd6db75a4e4
18981,2022-06-17T03:05:02.000,martia,bank.mars,bank.mars,martia,195905.4045,f7d685bc9e17ce212790d315daa7fc1a76edc08e0a921fa2a9be3bcd90fdf2ad
18976,2022-06-17T02:05:01.000,martia,bank.mars,bank.mars,martia,195908.9583,a7dd91d074ead3314a0ab8641a0aea6200bfc8aeaca05ffa1e689532d6fc6a36
18971,2022-06-17T01:04:57.000,martia,bank.mars,bank.mars,martia,195905.2366,5297b56e2d55a12433933af5ed50c22d6c5519e7773d9e19da43d7611f082d04
18966,2022-06-17T00:05:08.500,martia,bank.mars,bank.mars,martia,195906.1356,b72bd08c5eec3ed2e9b1445a08711a267e9a6b5bfc3dba4ca6d94b9f48f4c2af
