action sequence,time,account,actor,from,to,quantity,txID
18001,2022-06-08T23:05:03.500,martia,bank.mars,bank.mars,martia,194812.7479,c3e291f4181f676f460c0d18c6f440a8f79b8dd5f365d9bff99fd76c337ff442
17996,2022-06-08T22:05:01.000,martia,bank.mars,bank.mars,martia,194788.6946,5d949915d8a2d6299951cd3c5b540374a578f593513d458bee48f7b28020f5a8
17991,2022-06-08T21:04:57.500,martia,bank.mars,bank.mars,martia,194782.7348,99fce04a4f03461ea323ab455ca47f2fa594d990f2592fbd467d00556fab2571
17986,2022-06-08T20:04:59.000,martia,bank.mars,bank.mars,martia,194631.3737,fa50b6e56814d83ada81580a6f039fdfdd17f5d895d9acb79260ed3a9b42b65f
17981,2022-06-08T19:04:59.000,martia,bank.mars,bank.mars,martia,194583.4335,e62889ce8b15a85da585866e20e6a8d4fcb95c3215fe3d3d5e0d4a4c688704ec
17976,2022-06-08T18:04:58.000,martia,bank.mars,bank.mars,martia,194577.5047,8f420f9b692c32d03adc6c23b7b830707b73ac824db251bb51f70f6b4ae19d7f
17971,2022-06-08T17:05:01.000,martia,bank.mars,bank.mars,martia,194574.1726,5734715c969af0f2dbaeeeb88e0681c30d864976a68c2c412570192e248719c8
17966,2022-06-08T16:05:03.000,martia,bank.mars,bank.mars,martia,194577.8470,016a9bc7692544b54a381a589c5352db30d8a3f552511c86d56f254a7c5bf8c0
17961,2022-06-08T15:05:01.000,martia,bank.mars,bank.mars,martia,194581.3533,c0265358ccc33db1e1a86ca16e27e6726082a485ee4cf9eda5c2993bfe6542bd
17956,2022-06-08T14:04:57.000,martia,bank.mars,bank.mars,martia,194559.3464,68aece3ff523dfd8dba598bf858e15a41469bed20892ed4708666e8dc791840f
17951,2022-06-08T13:05:15.000,martia,bank.mars,bank.mars,martia,194564.0497,b9e60442b68f1dd23e1c4d1005b3b14b864d702f7c8693eb76623074258dd57e
17946,2022-06-08T12:05:14.500,martia,bank.mars,bank.mars,martia,194563.5428,0b691d4e1a8af0d657f4d51edcec71173c044f94a18ae6c188e992386fa05495
17941,2022-06-08T11:05:14.500,martia,bank.mars,bank.mars,martia,194564.3178,a875d523c40cfc9a91809dac84b15a3ac907d01cd493515ff7ac5c4e7a4cfd17
17936,2022-06-08T10:05:14.500,martia,bank.mars,bank.mars,martia,194551.2324,b3c239ea84ff89e2ddd67e5fa023a3ee7734baac36386c3b2ecb2f3b91b02f74
17931,2022-06-08T09:05:14.000,martia,bank.mars,bank.mars,martia,194545.4217,f8a740e9c890e33f2f67121475b2a61accc185cb133dd35c26846803119d0edb
17926,2022-06-08T08:05:07.000,martia,bank.mars,bank.mars,martia,194543.0113,44e238038edff7e1bd2428e9033089f1a9fd6c91c7d9c774b8335a3b50589f91
17921,2022-06-08T07:05:07.000,martia,bank.mars,bank.mars,martia,194532.4526,4bbbec130e157ea81fad08fc35f0ab476a54411f3b1b21784e871697ff9cd28b
17916,2022-06-08T06:05:08.000,martia,bank.mars,bank.mars,martia,194576.1536,1ce6d37d04c32bf89a8834ccd9e4c06ee4e2e0ea723388c790f84269f7ff6d66
17911,2022-06-08T05:05:07.500,martia,bank.mars,bank.mars,martia,194540.8395,0892a71480da5dbf937791034120a83ef505b83fa23f76fee4b18c175f9af180
17910,2022-06-08T05:05:07.500,martia,bank.mars,bank.mars,martia,194540.8395,0892a71480da5dbf937791034120a83ef505b83fa23f76fee4b18c175f9af180
17906,2022-06-08T04:05:13.000,martia,bank.mars,bank.mars,martia,194525.4811,3a240e5a31844478d7382f2a1f26b0cb3501918b86e5e76768f82a79096681da
17901,2022-06-08T03:05:06.000,martia,bank.mars,bank.mars,martia,194513.0588,266cf399b348fc227b36b2066d34cbecf5912c41702a2919edbe95af55ae7fd2
17896,2022-06-08T02:05:02.500,martia,bank.mars,bank.mars,martia,194510.6863,81d6b9261fc90dead431a3a1b770b41e6777a085a417ae115d0e345162a2faf6
17891,2022-06-08T01:05:06.500,martia,bank.mars,bank.mars,martia,194497.8646,25eb64d7157def28cb06d84c80e1c52908baa196b7dba503da61012c782879b7
17886,2022-06-08T00:05:01.000,martia,bank.mars,bank.mars,martia,194463.4756,850852a7201573a1b0141dcd80b80bf8d12b98208c4e8a0bbb9b5409daeabd2f
