action sequence,time,account,actor,from,to,quantity,txID
23642,2022-07-25T23:04:57.000,martia,bank.mars,bank.mars,martia,197228.5563,abb89b252d0ad9c43008a91dfeb43ff8463a8eb7b626989efaa1ffd8bc598c90
23637,2022-07-25T22:04:58.000,martia,bank.mars,bank.mars,martia,197229.9975,d53e79ea234a3716145d53f0fa91f0af0e39142ba884a80e37dd10c24bdd8e7f
23632,2022-07-25T21:04:58.500,martia,bank.mars,bank.mars,martia,197232.3184,76e743165de7b45104b0305c292cc1e858383cf7f3d0703df3da180486808c98
23627,2022-07-25T20:04:58.500,martia,bank.mars,bank.mars,martia,197233.7595,27eaabeff8a3d69889c72960e57fdfb4145fbe844922c9263435c9af9d2d3c89
23622,2022-07-25T19:04:56.000,martia,bank.mars,bank.mars,martia,197237.4821,5f3f58af4e468b1cc5afeae20004fc64bc6813ee0da1d9a67d3f04aa00bf5a89
23617,2022-07-25T18:05:01.000,martia,bank.mars,bank.mars,martia,197211.9722,aedf709e449966e50b7c2be51f7de27dc95e04d69b5eeac7c1e6f7c7847ad03e
23612,2022-07-25T17:04:52.500,martia,bank.mars,bank.mars,martia,197215.0076,bea86d91034576019e104c76ef999aa6be13b0c473e6f5afd52d8f682267e551
23607,2022-07-25T16:04:56.500,martia,bank.mars,bank.mars,martia,197198.6101,a49874043fdece7f8d7a528991d528f0f07c05cae03ef9cc4f35cf2afdee3b92
23602,2022-07-25T15:04:58.500,martia,bank.mars,bank.mars,martia,197197.9011,9a6f90337e22d5e1ae52d7630f2e4835c7c86db85a800e97479a91821e9f4eea
23597,2022-07-25T14:04:52.500,martia,bank.mars,bank.mars,martia,197198.6038,2bc20aa929546d30f9693cc1853588996ed93ba64fd6f890807b43a5dfef9713
23592,2022-07-25T13:04:57.000,martia,bank.mars,bank.mars,martia,197176.1160,e057552263579a3c5acf6035e1db7b05d9f88299bcdd2ffe5c1a91132cac3bcf
23587,2022-07-25T12:04:56.000,martia,bank.mars,bank.mars,martia,197177.7122,d78b3f5b0cb8a020afed2f851f42aee20d3ed94079dd6b71f0368f68b25f59c5
23582,2022-07-25T11:04:56.500,martia,bank.mars,bank.mars,martia,197178.4333,a34577a529407f4151aa36064e641d343441e0bdfd5f9e878582a01916875586
23577,2022-07-25T10:04:56.000,martia,bank.mars,bank.mars,martia,197182.1822,126b7e661d91c0064399508e529414d125af131db4c064c8b02055f050083e8d
23572,2022-07-25T09:04:57.000,martia,bank.mars,bank.mars,martia,197182.8509,37c4f3d9f76bd56442a4cb5f31d56f13f9aa692a42e32878fa03bb47d5375267
23567,2022-07-25T08:04:56.500,martia,bank.mars,bank.mars,martia,197152.5749,319fefbeefc8ec100b0a735e68d0292ea0674fc59f6a165375adefe1019425e1
23562,2022-07-25T07:04:56.500,martia,bank.mars,bank.mars,martia,197152.5781,a5d596440a5acf622743f45d0e516ec89f043eec3187546a440adedfb4f13478
23557,2022-07-25T06:04:56.000,martia,bank.mars,bank.mars,martia,197148.1208,5b1e1dfa0035ccf1e8299c3c172bf868110e5e7a8023c3d11f9069d5728635e1
23552,2022-07-25T05:04:57.000,martia,bank.mars,bank.mars,martia,197149.5554,254fa2f8a4bff8258774d769b4ffc4494fc4913e40d36cc036e154abef8c88af
23551,2022-07-25T05:04:57.000,martia,bank.mars,bank.mars,martia,197149.5554,254fa2f8a4bff8258774d769b4ffc4494fc4913e40d36cc036e154abef8c88af
23547,2022-07-25T04:04:58.000,martia,bank.mars,bank.mars,martia,197144.0457,80bfd561bf2f5586bd872294a20b72314b52cd7958ff0222e6a7bbc4058aeca8
23542,2022-07-25T03:04:57.500,martia,bank.mars,bank.mars,martia,197136.0067,0f76b796cdbe445cd2166cc2195e2936045e72613a3038d71c4ebdb8f6837e10
23537,2022-07-25T02:04:55.500,martia,bank.mars,bank.mars,martia,197140.4688,4085c2ee110b42640b2a2536139a61d893c7204dddea563b5dfa8b7c9c3d0031
23532,2022-07-25T01:04:57.500,martia,bank.mars,bank.mars,martia,197143.4988,ba4a91475980af6d68c5003dc0f2f724e53acde309d1741758e29da788fc134d
23527,2022-07-25T00:04:59.000,martia,bank.mars,bank.mars,martia,197145.6486,9ddf5cb6bab2b76c235676157f4c71993ee54aeb09b6d6d737edef4eba04655b
