action sequence,time,account,actor,from,to,quantity,txID
13674,2022-05-03T23:05:45.000,martia,bank.mars,bank.mars,martia,193566.3092,35ae56b9643b20d46b917552fe3543306df535d17530db72134f0863287ecd13
13669,2022-05-03T22:06:01.000,martia,bank.mars,bank.mars,martia,193569.8107,c6dd47061d03dd393a63c98279e0067ababd76d6740cac25433b9bf7f888bda4
13667,2022-05-03T21:06:01.500,martia,bank.mars,bank.mars,martia,193566.1420,94072778ba0ad88adcaa349b5138915c6efaeafa5175ca926c478069676bd193
13662,2022-05-03T20:06:34.000,martia,bank.mars,bank.mars,martia,193560.8174,aad1b4aa5463c3de3e7763ffd845a943d58b4c1e26342d86a814971388892810
13657,2022-05-03T19:06:18.000,martia,bank.mars,bank.mars,martia,193560.7324,d1bf7ca6bebcbd2c00b692dcd064fa80d818994cf708491c284737e40d07d723
13655,2022-05-03T18:06:17.500,martia,bank.mars,bank.mars,martia,193561.2070,bb954b52e2b78a1efe75b6b1f234fc51cc287e759da586dad395b188bf839a79
13650,2022-05-03T17:06:17.500,martia,bank.mars,bank.mars,martia,193562.5811,de35afaa3659aa49adb1208f6167d702dbb934ed9d84455d1f84cae50aa39815
13645,2022-05-03T16:05:41.000,martia,bank.mars,bank.mars,martia,193557.1695,b989b5da5f89d20912b3a1232e7d25b68e94da87aee73eab3377a0c8edcb149d
13640,2022-05-03T15:06:00.000,martia,bank.mars,bank.mars,martia,193552.9000,001043bcc9a6b651b7ff9690bf8748d6fbbf0a30d1a748987865acf90925177a
13635,2022-05-03T14:05:49.000,martia,bank.mars,bank.mars,martia,193549.7883,fffce13ae3d2c64411899c5d99635534d15166b1937d0dcd261fe14cf7cbcaaf
13630,2022-05-03T13:05:54.000,martia,bank.mars,bank.mars,martia,193538.1138,53ae765a07aeee73634554a3e6aa1fac71279096d9ed9530aa478a7af2688282
13625,2022-05-03T12:05:59.000,martia,bank.mars,bank.mars,martia,193557.1386,0ffb2f259844b0a8a6d3d30a361308faaa22f019b72a951d434fc14e50992517
13620,2022-05-03T11:05:18.500,martia,bank.mars,bank.mars,martia,193561.2568,28ba8f3d3d9531f9d74d83b99f43d82c62da6758e172f13b6973dacf6988d57a
13618,2022-05-03T10:05:54.000,martia,bank.mars,bank.mars,martia,193554.2242,91f99f64a5e938c231b5f20cc4aecb577d3a48fa39d5352bb14b5f80d9c36e6f
13613,2022-05-03T09:05:48.500,martia,bank.mars,bank.mars,martia,193555.1787,70cdc84ed0474580b444d5536c340d89b9bfe3c75cdf68f951de41698dfa9d7c
13608,2022-05-03T08:05:36.000,martia,bank.mars,bank.mars,martia,193552.9669,6950542c2c7e78026eccdd962f8e13289b68efd7b85160e38baa7634f582eedf
13603,2022-05-03T07:05:42.000,martia,bank.mars,bank.mars,martia,193555.5158,a91cf485f0ad063e57dc8be9421d180b94a9a7f8d7e98512f11e80014defa182
13598,2022-05-03T06:05:36.000,martia,bank.mars,bank.mars,martia,193557.1841,75d4a8bef29670a9541895de061d4187fdaea9a487df1690748a00b209dfd0a2
13593,2022-05-03T05:05:39.000,martia,bank.mars,bank.mars,martia,193555.8471,ba6c8713ddb4336b54437f043f0f5e0f6fe256d7746b471b4146f70d70bb4eaa
13588,2022-05-03T04:05:34.000,martia,bank.mars,bank.mars,martia,193559.8114,6cb610508a2f4f3a6522f84e8591e6c5ee82699265a4b0d83f090311d347f98a
13583,2022-05-03T03:05:29.500,martia,bank.mars,bank.mars,martia,193559.8456,4e8704d1859e54d441c976b645ac67def1503357c26e53564564ebc31241c2fa
13578,2022-05-03T02:05:27.500,martia,bank.mars,bank.mars,martia,193557.4171,2c495adf03894fa30899deca4bb337e182352fa8565969453afcaf8b740331f0
13577,2022-05-03T02:05:27.500,martia,bank.mars,bank.mars,martia,193557.4171,2c495adf03894fa30899deca4bb337e182352fa8565969453afcaf8b740331f0
13573,2022-05-03T01:05:20.500,martia,bank.mars,bank.mars,martia,193560.5500,7e142a35caccb82827c238c613ac4bbf882a69aad4a7880fb348b7ad73665cbd
13568,2022-05-03T00:05:22.000,martia,bank.mars,bank.mars,martia,193543.6490,7035ed68fc1ffb750ff09ef5fbfa20877dff83f9f9f5a8f423841bc22c7d5aa1
