action sequence,time,account,actor,from,to,quantity,txID
6119,2022-03-01T23:05:10.500,martia,bank.mars,bank.mars,martia,188857.8675,8b4a868d890393dfd7f4d0312acbb5766924f7418548127c0003281aed958756
6114,2022-03-01T22:05:13.500,martia,bank.mars,bank.mars,martia,188861.6659,1807cbae6e8a85176c1a21c33d7684de52a2f54f0449524bdb60ec20a6535df8
6109,2022-03-01T21:07:47.000,martia,bank.mars,bank.mars,martia,188865.4644,d2d52e9b19fd68dbb200af29b76a6034e47f60d3074b79c23d4516241ca09cee
6104,2022-03-01T19:05:15.000,martia,bank.mars,bank.mars,martia,188869.2629,e2923df40150eadb79241c9a90a412bf1e6daa1d40afe81c6aa6ac2bc98bf507
6102,2022-03-01T18:05:12.000,martia,bank.mars,bank.mars,martia,188873.0054,51cb47b321f606edf1884800a0b634d08845debdeb0b1327622c1e6d12f4fb8d
6100,2022-03-01T17:05:10.500,martia,bank.mars,bank.mars,martia,188876.7587,8a6c757df19628cb153ecc6bdfe63bd09ac6698ed30613673942a2c46fa37789
6098,2022-03-01T16:05:18.000,martia,bank.mars,bank.mars,martia,188880.3164,e76f297ba663f34e625034bdfaa7a4e2e0ebbbb16be36aa3359433c5cf5b6324
6096,2022-03-01T15:05:21.500,martia,bank.mars,bank.mars,martia,188883.9840,3599a17d36c96280ec141fdce68994c150bd069acba73f7f9ac339288bccfca7
6094,2022-03-01T14:05:10.500,martia,bank.mars,bank.mars,martia,188887.6410,171289620fc1154fc1976a498c6b8226ea79093f85b9aec10585dcb25d69c320
6092,2022-03-01T13:05:10.500,martia,bank.mars,bank.mars,martia,188891.3382,9337f7bb3d79cdc6566a8a470c2796faf7b46f66cf34a8eb363576400a7a9038
6090,2022-03-01T12:05:18.500,martia,bank.mars,bank.mars,martia,188895.0812,167925d4aebf0df77af7114877c79ffdd158b88a0a8db23e59a267c24d3afd82
6088,2022-03-01T11:05:12.000,martia,bank.mars,bank.mars,martia,188898.8939,631a19ee6643cfca429d70f287c453f9456c008671affafa0e01a8f34433fdf2
6086,2022-03-01T10:05:23.500,martia,bank.mars,bank.mars,martia,188902.6369,92598572e1a5405ed9ccc7511c46a771ae20ffd09fbdd1f7860eafa75482ee35
6084,2022-03-01T09:05:16.000,martia,bank.mars,bank.mars,martia,188906.3801,613b7d6a2c7944f672aaba3443dbc628b520f2d5c80546d19c8d7d8b5ed1fd46
6082,2022-03-01T08:05:15.500,martia,bank.mars,bank.mars,martia,188910.1233,ad3b301c686a5ddbd76dd7e3a23cde99bbc6ef246274fe22dc5cb0bac27c1486
6080,2022-03-01T07:05:10.000,martia,bank.mars,bank.mars,martia,188913.8666,3ce8f70be16e77e308558bcf84be5e229ff4b2bf3c5144f2d1b8a1b1be758b4e
6078,2022-03-01T06:05:16.500,martia,bank.mars,bank.mars,martia,188917.6099,348d5f885bf15b1ffed5c716693cd6295c6ee2fa815d1cdbb6cc5e400e55188b
6076,2022-03-01T05:05:17.000,martia,bank.mars,bank.mars,martia,188921.4231,654c3854e07fc6b383f222456cf80e73af8be58c586e644af77d078236bb02ea
6074,2022-03-01T04:05:10.500,martia,bank.mars,bank.mars,martia,188925.1666,6e206ed3e8a05b15be70301425b0d5b6c663e05517b7c44b98cd0687c8f45617
6072,2022-03-01T03:05:18.000,martia,bank.mars,bank.mars,martia,188928.9102,d96389d8b47eff0b856a89d5449e4ee8679efd1f6811671fe197da3fb9c6376c
6070,2022-03-01T02:05:17.000,martia,bank.mars,bank.mars,martia,188932.6539,4d7e842a91d758e97a7ee69b746dff333a4cd9ed90c9ee4df883a9ef07a6a5d6
6068,2022-03-01T01:05:23.000,martia,bank.mars,bank.mars,martia,188936.6577,b468770575219696399a5609cff5cc59aafe53b62cde04d669272732199d6c11
6066,2022-03-01T00:05:02.000,martia,bank.mars,bank.mars,martia,188940.4016,078ff3788f3e10ef4dfe5cc78ee45a5fffa76dfcec4a6ea83e8bc8b60b83bbbb
