action sequence,time,account,actor,from,to,quantity,txID
20761,2022-07-01T23:05:03.000,martia,bank.mars,bank.mars,martia,196647.8456,8c9f421a21e573f694a103443cf79bf9b62cddfa3c390d207e8b07b2a08602fd
20756,2022-07-01T22:05:09.000,martia,bank.mars,bank.mars,martia,196652.4269,29071cda463e51f4391e3f4adad37bf669b98b75215d0cdcab49116e704a4b62
20751,2022-07-01T21:05:03.000,martia,bank.mars,bank.mars,martia,196655.3617,a7417ec15f59fc2f5b020c890c20f296eccdfa964423316a113e6df00f541882
20746,2022-07-01T20:05:07.500,martia,bank.mars,bank.mars,martia,196649.4891,ca9d65fcaabc829dccc19d93c1fbaf8468412e7ed628ea5773dfb0ab7d93879f
20741,2022-07-01T19:05:01.500,martia,bank.mars,bank.mars,martia,196639.2651,9e207a0fa76e7cea01263271d4ebc92793397eaded01ac65f3b0c559e0ba5cc6
20736,2022-07-01T18:05:02.500,martia,bank.mars,bank.mars,martia,196635.8991,4349e3da9c4027557a69c1a1bafb4f79a1e936be2858f825b932ec8d11cf1c28
20731,2022-07-01T17:04:56.500,martia,bank.mars,bank.mars,martia,196637.9413,82deafeced2234336fc007127a3856244a1a46c522c24586afd5b9145c23eafb
20726,2022-07-01T16:04:59.000,martia,bank.mars,bank.mars,martia,196636.1862,3fa4a0c222f7fd301483827ce79dd84e4b47a81367e90ef222ab4b77cc2a0d02
20721,2022-07-01T15:05:12.500,martia,bank.mars,bank.mars,martia,196629.7446,455578ae1bdd86e19e7385a14b16bd7ee1b7b2990b3597987a4532dce7a95de3
20716,2022-07-01T14:05:07.000,martia,bank.mars,bank.mars,martia,196626.9663,77df76c665ff54892cbab2aebf8472df1b5b65899ae201052f76c20a43801079
20711,2022-07-01T13:05:04.500,martia,bank.mars,bank.mars,martia,196613.2787,3292f0fff9513d53d0918925403374b6b93b483b902b4b04f8aa93038e31e2c9
20706,2022-07-01T12:05:04.500,martia,bank.mars,bank.mars,martia,196613.8686,011893f02c17d0592172384d53d73e984a3547dd3d598d215ad9c06ce9ddd984
20701,2022-07-01T11:04:58.500,martia,bank.mars,bank.mars,martia,196615.1836,5a393d5918a90143636f1b997a60a71f0827f0b00f1cc44c232e9c128d18e40e
20696,2022-07-01T10:04:57.000,martia,bank.mars,bank.mars,martia,196616.4985,51c69bfba9c7af2ddfba707b9baf4f93bffdfbd828e010a7f03c8f05fc46815e
20691,2022-07-01T09:05:01.500,martia,bank.mars,bank.mars,martia,196617.8788,aa88c5e9207202522bbdc8f8caff916f6aa7c3341ae82628254941d40a4e3361
20686,2022-07-01T08:04:53.500,martia,bank.mars,bank.mars,martia,196620.6391,bd07e6853dd83c7379e72caf0b10acded56e02e0e73993082942a331bdd231f1
20681,2022-07-01T07:05:03.000,martia,bank.mars,bank.mars,martia,196607.9204,49b2f85441f4dd2d58db0801b79419c99f018ac34d2247c123a098ee5b60353a
20676,2022-07-01T06:04:56.500,martia,bank.mars,bank.mars,martia,196610.6850,c0814a16b70640a2c5bad2257d3b25caf6825d3f44123c9034b96d11d2afbc17
20671,2022-07-01T05:05:02.000,martia,bank.mars,bank.mars,martia,196614.3412,3124e436160eafa0ef252cd0eba3bb33be5fd5e52915e552b22150a7fe1ccd79
20670,2022-07-01T05:05:02.000,martia,bank.mars,bank.mars,martia,196614.3412,3124e436160eafa0ef252cd0eba3bb33be5fd5e52915e552b22150a7fe1ccd79
20666,2022-07-01T04:04:57.500,martia,bank.mars,bank.mars,martia,196615.6551,5d15b838b8f5cf64dd36c840e8f74d8121d1fb7616f5dd74a0780d1679fc39d4
20661,2022-07-01T03:04:53.500,martia,bank.mars,bank.mars,martia,196613.9010,57c4b1561a657151aa4857b4f4fed9c13282acd0c36fb7c71b72cbbb5eadc363
20656,2022-07-01T02:05:02.000,martia,bank.mars,bank.mars,martia,196610.3633,1b852229e304d00dda4aced4cc6c6d34d4839156f096b2ca68c27c732ffb4d64
20651,2022-07-01T01:04:56.000,martia,bank.mars,bank.mars,martia,196612.2533,23eb1742511145101b345b54ff6fe035aed562ea6d7486bee0f7f9d2d37dac17
20646,2022-07-01T00:04:55.000,martia,bank.mars,bank.mars,martia,196612.1155,e3d63d9817af4f316b96848eb446fc84d92af97e8ad9308462ac933d9e21aeff
