action sequence,time,account,actor,from,to,quantity,txID
13427,2022-05-01T23:08:16.000,martia,bank.mars,bank.mars,martia,193428.0793,10780bf1ce604353735e97320cc9b05f22de985fe61fb5088b4689151771e601
13419,2022-05-01T21:05:40.000,martia,bank.mars,bank.mars,martia,193420.3835,944de548e7e627577add763c5318344f3d8607df2a034197014235e7bb852b6e
13414,2022-05-01T20:05:48.000,martia,bank.mars,bank.mars,martia,193423.7074,a7a8287340dd2020efb33ff73261615da52e75ecc964ebf9c937e3a412ad6097
13409,2022-05-01T19:06:17.000,martia,bank.mars,bank.mars,martia,193424.5385,34b25a1ae22578b8f6d9f749cbd48597a4e0dda067a59543cda1264e89ac037c
13404,2022-05-01T18:08:13.500,martia,bank.mars,bank.mars,martia,193420.4253,998cd1eb45328aa897e6a232e926f9a342b325fef1b58002700d1a70a6d4d38f
13396,2022-05-01T16:06:27.000,martia,bank.mars,bank.mars,martia,193407.1519,f05f4e3115f017ba10652008905c0708c663f0c3d571d3951648bd25b598a191
13391,2022-05-01T15:05:55.000,martia,bank.mars,bank.mars,martia,193405.9957,ebc7162fca3e4ade7e08fcc01753cdd0ca7c603ba2424356673c8ce560e8e250
13386,2022-05-01T14:05:47.500,martia,bank.mars,bank.mars,martia,193408.6062,5406b7056c839bf0c8230897a68a6e906dc1bdfe4c0d091e9f51c1e4cc3891ea
13381,2022-05-01T13:06:05.500,martia,bank.mars,bank.mars,martia,193407.3847,8587b0c929e5d2996c890362e7cb4b9d625faca0e345c4d020158c37e6127995
13379,2022-05-01T12:05:58.000,martia,bank.mars,bank.mars,martia,193404.0952,48f2f16141e7e4c6f621a0bcb24a020ff5714c134712d83dbdad8e526099bdfd
13374,2022-05-01T11:05:58.000,martia,bank.mars,bank.mars,martia,193408.1950,bccaf043d0826291ef3f39f1c176761f1ca673a747a0cc18cdc710b97b6ade9c
13372,2022-05-01T10:05:35.000,martia,bank.mars,bank.mars,martia,193410.0242,1a02a9ab9992d66ed76159a49396ffc89484c87b08a53c7325bf4e18da4949ee
13367,2022-05-01T09:05:55.000,martia,bank.mars,bank.mars,martia,193391.0446,3f25e7ce73e68f7ea8cba063f48816bcd2acb2a8f5a7d8572cdc23cdeb83c388
13362,2022-05-01T08:05:56.000,martia,bank.mars,bank.mars,martia,193391.2358,e53590ca0c0696632fa2fed17170ca54018ac7e8358d8fd8205e26df53d31a83
13357,2022-05-01T07:05:57.000,martia,bank.mars,bank.mars,martia,193387.5111,6a9977f5581f48f1706e587fc5607e26a6fe9b30374562188597b0df0004e749
13352,2022-05-01T06:05:57.000,martia,bank.mars,bank.mars,martia,193382.8526,9d0ad40f0207ae3cfc7c9d251ce298f17610af0d5d3ab8741758684e567d45b2
13350,2022-05-01T05:05:48.500,martia,bank.mars,bank.mars,martia,193380.9594,7debc816587e0ee6eca25ef102c9d52f1b50163c7064c366f022d91e9823d39d
13345,2022-05-01T04:05:54.000,martia,bank.mars,bank.mars,martia,193383.6534,56760a9b127b194d7ad08358c5b6bbe0ce8bb71dfad37e9563dfb0abac39e5de
13340,2022-05-01T03:05:54.500,martia,bank.mars,bank.mars,martia,193361.4397,2b40b3539865be3f9d1f62e7f6d6cc247db68fbfd59af9c11b4a946c6f9ddea6
13335,2022-05-01T02:05:40.500,martia,bank.mars,bank.mars,martia,193361.2854,a8994976e3f88fd571a5bc51ed059ea25d33faa8fa6d1d95597b80331083aa24
13334,2022-05-01T02:05:40.500,martia,bank.mars,bank.mars,martia,193361.2854,a8994976e3f88fd571a5bc51ed059ea25d33faa8fa6d1d95597b80331083aa24
13330,2022-05-01T01:05:19.500,martia,bank.mars,bank.mars,martia,193360.9592,0bd62a9aa41f4a2b653af80c4426601fd2ca73c8fe0d2564853dde0294616dfe
13325,2022-05-01T00:05:38.500,martia,bank.mars,bank.mars,martia,193357.0235,27ede5916c1946c11f141768e9381c31c71828a0ffe401624b7e5b3695b828cd
