action sequence,time,account,actor,from,to,quantity,txID
4206,2022-01-25T23:00:17.000,martia,bank.mars,bank.mars,martia,189395.5701,8c42d56f885dc8a0c3f4171dca4bb72aa2d90ebd7a59f5c7b2fb5f2deed730c8
4204,2022-01-25T22:00:17.000,martia,bank.mars,bank.mars,martia,189395.7330,88c2f57e5c7e5e42af32c314cae3fc7f5735b2d1a6f863c4b495e8a37af2b5c2
4202,2022-01-25T21:00:16.000,martia,bank.mars,bank.mars,martia,189399.2774,0112e65c8df09ae642e4422f8812a2d1e0cee55e2bd7acb4c6cc643c4c6c5c87
4200,2022-01-25T20:00:17.500,martia,bank.mars,bank.mars,martia,189329.4257,d4b9b94c08bba9baaae2b8f032845fe6dbfe0a50ef58c86558cdfcee8ce1ded5
4198,2022-01-25T19:00:17.000,martia,bank.mars,bank.mars,martia,189234.8940,e054466790c5208ba56fd07b9291a1d03f64327bd15e2290c33052774bdde60f
4196,2022-01-25T18:00:16.500,martia,bank.mars,bank.mars,martia,189228.5669,6d7f847d5dd02929c2dab5b5e833853dc5e11c84f344ca816a5aee22fb64dafa
4194,2022-01-25T17:00:16.500,martia,bank.mars,bank.mars,martia,188951.9050,a1d32498743e9503a64ca029b903398fc72b94e83096a5105e0dab8c3a370dc0
4192,2022-01-25T16:00:16.000,martia,bank.mars,bank.mars,martia,188955.6062,feb0ba004d63421dc1760dc10284942fef0e1c036412fdb8ea0716ed1f6b8ba5
4190,2022-01-25T15:00:16.500,martia,bank.mars,bank.mars,martia,188960.1168,b2b4fc6c019af74221836197c6d3d34afac941821f8d86d54548bacb78e01c38
4188,2022-01-25T14:30:16.500,martia,bank.mars,bank.mars,martia,188962.2238,1fa6b2ed4c561a37181d838e8085e939dfc75f48ab2e0d3821cd960700972ef5
4186,2022-01-25T14:00:16.000,martia,bank.mars,bank.mars,martia,188963.4559,3499b6e14a2998ec0e4aef20598f5994561667a8829cf6e66fc7e94d174d658e
4184,2022-01-25T13:00:16.500,martia,bank.mars,bank.mars,martia,188959.2670,9448d4c296d738e97bdf19241c29fb96abcb4685bbfe92eaaeca5b6f07325c37
4182,2022-01-25T12:00:17.500,martia,bank.mars,bank.mars,martia,188962.2104,0a04646f5758aab7d329649a7206663ace6572a2c85b5064a3b69eac57689b04
4180,2022-01-25T11:00:16.500,martia,bank.mars,bank.mars,martia,188962.4419,f813431dda3937f375ccc40916d076226d30714e5a722766c9b859e35be60dd1
4178,2022-01-25T10:00:16.500,martia,bank.mars,bank.mars,martia,188948.9933,2fd1e7cb8c5dc1f079f500f23b398e6701f7584ff0b25bb961e4afd60819a6ce
4176,2022-01-25T09:00:16.500,martia,bank.mars,bank.mars,martia,188952.4948,9d1253ad8a982bbe457abe3d7c6a18ac13dc0d7a9e08089c5706eab8d28e4cd5
4174,2022-01-25T08:00:16.500,martia,bank.mars,bank.mars,martia,188951.8914,ccb204128d9e530dfb454cf00581d9754315c5fce041a39a267680074e34a63a
4172,2022-01-25T07:00:16.500,martia,bank.mars,bank.mars,martia,188957.4508,315d7b39eb3ebb1d26562c8b90e89112fdaba360cfe0dae0a5595d95b7e31602
4170,2022-01-25T06:00:17.000,martia,bank.mars,bank.mars,martia,188953.0693,d694d7c91ab8ff99597412abcc38061d5313e8ab509d6a9b7a8847a1c1a5102f
4168,2022-01-25T05:00:17.000,martia,bank.mars,bank.mars,martia,188956.6306,af53561454412fb31632ac9fb2864b995456c1450db18ca12a6d5b341dd7ce4a
4166,2022-01-25T04:00:16.000,martia,bank.mars,bank.mars,martia,188957.3761,fe23195fe6f0386c8c6b4d5d1f4db85a9daf5bd7fd981672de05e3ab5e9a52a9
4164,2022-01-25T03:00:16.000,martia,bank.mars,bank.mars,martia,188959.1001,b68654f0bb3db6de49ac17d6d79977424814e8ca8068de8998cc82e81fcee1ea
4162,2022-01-25T02:00:16.500,martia,bank.mars,bank.mars,martia,188960.4751,2debaf046067496d64b1e602d8528c8e0412e6dcb5737e44bdea95c090a0f4f9
4160,2022-01-25T01:00:17.000,martia,bank.mars,bank.mars,martia,188960.4598,eedb57fdc095663b4970262ca72c451452d18c9b802752d2a1d97ecae9fc8e7a
4158,2022-01-25T00:00:16.000,martia,bank.mars,bank.mars,martia,188963.7075,00b6c496a1a63ad76cbf09fe23b387575c6a95876101e26c8f9413f2e3b17de5
