action sequence,time,account,actor,from,to,quantity,txID
16923,2022-05-30T23:04:59.000,martia,bank.mars,bank.mars,martia,195272.5084,a1323783cee34dfb94c2309be48922b101aeb584d1466bb4a1f04a79c183f270
16918,2022-05-30T22:05:00.500,martia,bank.mars,bank.mars,martia,195263.4552,1426dd20d265a1f5dc0ba27070be28ec55929ec7cbb12d9db35cfdaaa6bd49de
16913,2022-05-30T21:05:03.000,martia,bank.mars,bank.mars,martia,195265.7524,884a76b49cc606c28a366d39bc425b6b05ad15a404746d20a94b161d719305db
16908,2022-05-30T20:04:54.500,martia,bank.mars,bank.mars,martia,195267.2865,fdd8b281f28a677653b80ce58e585f1f9a81c397b5b56273a94c4b428701f344
16903,2022-05-30T19:04:57.500,martia,bank.mars,bank.mars,martia,195260.4751,d3c4f074bdc84c7f632a9cdc3e790b1eb88f044ae7170a43a5a55614e1bcabc2
16889,2022-05-30T18:04:58.500,martia,bank.mars,bank.mars,martia,195246.2280,e5ad8b95d0e65a8578f0357131553698fc2a5059e3714ab3dc1a1e63c7ccdd8f
16884,2022-05-30T17:04:56.500,martia,bank.mars,bank.mars,martia,195242.2575,3b230f073dc0ec510224e87094950edea2f315d0170612ff73e4e69dfc02fdca
16879,2022-05-30T16:04:58.500,martia,bank.mars,bank.mars,martia,195241.6286,02300e3b4b7669f811fc97a027ccf3b91bd9602fd47e14af378578d733d4668d
16874,2022-05-30T15:05:01.500,martia,bank.mars,bank.mars,martia,195250.0780,2747e4d2214ff32bae13cc0d3e78e3a3b3ede1de1c2d69cf05b7c9293307e8ab
16869,2022-05-30T14:04:58.000,martia,bank.mars,bank.mars,martia,195250.2505,1c373ea2193197dff72fbbacab8ce7a911705a1a0dc4a6d988b9199103957337
16864,2022-05-30T13:05:17.500,martia,bank.mars,bank.mars,martia,195252.5743,39ca5667d008958ace4bdd806bf152c0a194d95f6f2857c49a2c8011ace507f3
16859,2022-05-30T12:05:14.500,martia,bank.mars,bank.mars,martia,195246.3925,b9b4a797b0d9d5c7d9d382ed8b5c70a38fb561fd728702ca18130476d8a6562b
16854,2022-05-30T11:05:14.500,martia,bank.mars,bank.mars,martia,195249.1998,42bb2efdd51064c84d092c75a5126add21e5feea348c1f3309b0507d1d839204
16849,2022-05-30T10:05:14.000,martia,bank.mars,bank.mars,martia,195251.9738,bca114ca27a2669c506c91daab7cd9d0dc190e9fcbb9f473070657966d9ab06f
16844,2022-05-30T09:05:14.500,martia,bank.mars,bank.mars,martia,195255.3344,be29bda86cd4444a4dbe528d548d267165d4cf7d877dcc7fd357165f46c46eea
16839,2022-05-30T08:05:08.000,martia,bank.mars,bank.mars,martia,195256.1131,365c1847aebe072bd30f83a339259e9280b8f5dc53d0be695e899ab797464fe0
16834,2022-05-30T07:05:01.000,martia,bank.mars,bank.mars,martia,195256.5204,a602781518baf5ba6696a631d9972a1ccd9434e991dde2ecc208977b29a7a33d
16829,2022-05-30T06:05:07.500,martia,bank.mars,bank.mars,martia,195257.6754,94b851f394e64357cb76e5cec4c6d4364b517d467de7f4f06c99c08839780c67
16828,2022-05-30T06:05:07.500,martia,bank.mars,bank.mars,martia,195257.6754,94b851f394e64357cb76e5cec4c6d4364b517d467de7f4f06c99c08839780c67
16824,2022-05-30T05:04:59.000,martia,bank.mars,bank.mars,martia,195254.1504,42e95364a5ad48ed1f3cfad07bf9427bc76a036521bf0089944a0df48c07dad5
16819,2022-05-30T04:05:06.500,martia,bank.mars,bank.mars,martia,195258.3994,6128507502f62239157c07307d0427aa790399189edc49ef2b9d2172d81d2e02
16814,2022-05-30T03:05:04.000,martia,bank.mars,bank.mars,martia,195253.2883,7c6c8aeba06fba16f0dffcadc3545dccb9016bed499a52c5d12d025a966827da
16809,2022-05-30T02:05:01.000,martia,bank.mars,bank.mars,martia,195245.5458,0324f1a46316282fdc4de3079a95ffffad9c9e692607f1ad84662c1cc4a73d25
16804,2022-05-30T01:04:55.500,martia,bank.mars,bank.mars,martia,195246.6535,02f8cf9e2d33863f99acea18bb08a9d1e1410823179f8ed20960e044b86e3fc0
16799,2022-05-30T00:04:58.000,martia,bank.mars,bank.mars,martia,195238.5437,43a8cc998f562987fee0d673a48ebb284b73a7514a09ab6f9eaf17c8bbc71b47
