action sequence,time,account,actor,from,to,quantity,txID
6948,2022-03-08T23:05:27.000,martia,bank.mars,bank.mars,martia,189724.1198,fdfc3b2f70d01d11600db85f24ffcf4850e412aeb2000fc7ba14efa9c55e6bc8
6943,2022-03-08T22:05:14.500,martia,bank.mars,bank.mars,martia,189720.5868,77d0428b6a80a1117590daf04cd17bceb7f196ea67d0312314e4c76db542bfc7
6938,2022-03-08T21:05:15.000,martia,bank.mars,bank.mars,martia,189721.6943,d0b05b81909f83940663f9df0a68f47edba9e57115de79d3682a5adbfed303bb
6933,2022-03-08T20:03:05.500,martia,bank.mars,bank.mars,martia,189724.2150,7028c9cf85fddd008106c16e54da28f0dc7bf2cd9f56762e83812303bb5ebee5
6928,2022-03-08T19:05:08.000,martia,bank.mars,bank.mars,martia,189726.4873,95de63e724cbae4daeb75f6070930a90a92b2dc9a999d921a9b66f734ecf2c46
6923,2022-03-08T18:05:19.500,martia,bank.mars,bank.mars,martia,189719.3785,9fd93a672c5cedd69524108005e97761892e6edadb1652a3ad989e47ec00590a
6918,2022-03-08T17:05:21.000,martia,bank.mars,bank.mars,martia,189712.2209,894c6d2f948d5dab1ab764baa1bf852a035d6385aa0a927569499d3aacf3ceaa
6913,2022-03-08T16:05:16.000,martia,bank.mars,bank.mars,martia,189701.8910,324716de3eb1ece4a2a7d358a974878f059f42954632fd68517439367034b3f2
6908,2022-03-08T15:05:15.500,martia,bank.mars,bank.mars,martia,189704.0257,33ed450ec9488fd29b5820b385818a766400105953f2079d855ef1e03f08096f
6903,2022-03-08T14:05:18.500,martia,bank.mars,bank.mars,martia,189704.0360,529f0fd1bd770613b6ba8593ff65e7d79611dd30988b43d087fe59a967809ef1
6898,2022-03-08T13:05:12.500,martia,bank.mars,bank.mars,martia,189672.5408,b35c4024aabd6b031feced84b210c9461a2cc3988165bedfa61270afe9485398
6893,2022-03-08T12:05:19.000,martia,bank.mars,bank.mars,martia,189668.1991,58eabaa00216997bd012ba46877f412f7bd970045868fd2a6a16d5dc2f2eb7d2
6888,2022-03-08T11:05:11.000,martia,bank.mars,bank.mars,martia,189663.1835,85484f20f19488c164fee63957082d59264bb9c2eb431b854505bc2261ff391b
6883,2022-03-08T10:05:11.500,martia,bank.mars,bank.mars,martia,189649.9766,b106b9400bc7b180db2c188a7f672517e1d0522d650843876614c97f2477beec
6878,2022-03-08T09:05:11.000,martia,bank.mars,bank.mars,martia,189651.0770,c0a392f99572b8ba98fd4831f3dff37ea1238c21e6fdd4b12630df074e6709af
6873,2022-03-08T08:05:09.500,martia,bank.mars,bank.mars,martia,189651.5973,983b1474c1598d379cc8fed562f511c287fd9de88d99bc608d56372f43846df4
6868,2022-03-08T07:05:16.500,martia,bank.mars,bank.mars,martia,189669.4061,6e0859f20117fd73792b68316ecd15046dac653c1c620f8dd4ac7acb8ba8fe4d
6863,2022-03-08T06:05:09.500,martia,bank.mars,bank.mars,martia,189669.7639,0220d8c60426ca032c69745abfe16aa44593a5dd87e8a0ce94cc72358faa039f
6858,2022-03-08T05:05:23.500,martia,bank.mars,bank.mars,martia,189662.8866,d3e4fea79fa9a14a12554d2b0095b27b061aff0e478a900a1a1dbf8af22a2853
6857,2022-03-08T05:05:23.500,martia,bank.mars,bank.mars,martia,189662.8866,d3e4fea79fa9a14a12554d2b0095b27b061aff0e478a900a1a1dbf8af22a2853
6853,2022-03-08T04:05:11.000,martia,bank.mars,bank.mars,martia,189639.8551,46a30c720b6ba85f5b8afe748e5719729df70d594326dfe63f87e48251a7dd0e
6848,2022-03-08T03:05:13.500,martia,bank.mars,bank.mars,martia,189637.7843,f02049fd0bbe9c6a074c32007119a9f75874bad34119825aff28cd09aa689b53
6843,2022-03-08T02:05:12.500,martia,bank.mars,bank.mars,martia,189636.3788,84d0e0d88dc42811bd44eaf7b12f43ffac2d3c908cb2d057cd38defec4da62e6
6838,2022-03-08T01:05:19.000,martia,bank.mars,bank.mars,martia,189627.2191,14baa1b50add7c30fc4a576af926e94ba9c6ec4a6b466ca3d9272376d6741eb3
6833,2022-03-08T00:05:15.000,martia,bank.mars,bank.mars,martia,189631.0491,4e750969a485c8e60eec6ab007475bdbd47d388353e86c7e844399c9f7c42963
