action sequence,time,account,actor,from,to,quantity,txID
18241,2022-06-10T23:05:03.000,martia,bank.mars,bank.mars,martia,195296.6543,6af9f036601ee773025a58cde636c4a0cb33762d00f792373fbb3ff46bc71a26
18236,2022-06-10T22:05:01.500,martia,bank.mars,bank.mars,martia,195293.0949,f19dffeac893df9aa67a83e441696805dbb96f4955635218e6a35835dc4325b9
18231,2022-06-10T21:05:02.500,martia,bank.mars,bank.mars,martia,195290.7087,e06c03053b3449fd058d9f1cbbf13fd0e409cb474c0a9d09ae6f939372a8c73f
18226,2022-06-10T20:05:01.000,martia,bank.mars,bank.mars,martia,195285.2950,a12264d882b9184215cb1ea08076509faf499ab2026247483d75a5d0cba1dbe6
18221,2022-06-10T19:05:07.500,martia,bank.mars,bank.mars,martia,195238.1530,8c37b8d94b9ec7b9a38c6704cae80e5fb71ede50aa9cba52cdefc4fedef6473f
18216,2022-06-10T18:05:08.000,martia,bank.mars,bank.mars,martia,195232.7694,cec6be3177900e552f2fafa3bed74f91fe892dcaadeda49f5a3b3d5edcbc9ac6
18211,2022-06-10T17:04:58.500,martia,bank.mars,bank.mars,martia,195133.0029,639ca244d3da8fd3779554edaba3e72109e33f72a21b41c93a7d867987aa760a
18206,2022-06-10T16:05:01.500,martia,bank.mars,bank.mars,martia,195131.2426,5c3bb624d96b8be9b995e516e132aeee96edfc68ae7045ae64b5848739d3b9ac
18201,2022-06-10T15:05:00.000,martia,bank.mars,bank.mars,martia,195134.7783,e2361a89d4a4ec72a1b8ecfd7c7d7b862f505d6d94f1490d27d875da4564047f
18196,2022-06-10T14:04:57.000,martia,bank.mars,bank.mars,martia,195134.1686,4c32e94a6fa0ed9f60d9c2bbd06b928430ed6e15ad953f55e057b661e1dfea9a
18191,2022-06-10T13:05:15.000,martia,bank.mars,bank.mars,martia,195130.6913,d31ae645177e370950f57a81911f5c1ab8782a8f786d2a1042dfa02258393fb9
18186,2022-06-10T12:05:10.500,martia,bank.mars,bank.mars,martia,195132.5562,4db25ba5ea991c241ce16239d33aa3756174a5918962f740cbba2cd775b331ce
18181,2022-06-10T11:04:57.500,martia,bank.mars,bank.mars,martia,195129.7201,dc5919b52f31f734c782dec6fe1dfd0aee2c08f63f9184804de48b89c80d25ff
18176,2022-06-10T10:05:14.500,martia,bank.mars,bank.mars,martia,195120.6317,6ca18c2dd7abea0166ebbb703c791d1a5f8c975f4b011f6cc48435c8e78b8d73
18171,2022-06-10T09:05:10.500,martia,bank.mars,bank.mars,martia,195113.4399,a5cdfb73f7d517ca31ce230cb1bc385a2cf118c4d7c35cbc5248a511f866c43e
18166,2022-06-10T08:04:56.500,martia,bank.mars,bank.mars,martia,195084.9391,e428279a99b87433f855ed13623b8ccad151b659a667b3e8e3633df6024c9b57
18161,2022-06-10T07:05:03.500,martia,bank.mars,bank.mars,martia,195085.3699,7710a5cb0a6d0df13d70111ab8d4e98a792069f73d8fffe75edce212d341aef5
18156,2022-06-10T06:05:01.000,martia,bank.mars,bank.mars,martia,195084.8991,3f765f333cc12d64a6773ee612c6910eb6e85d3146f3a7dff14aba59ed30f2a6
18151,2022-06-10T05:05:04.500,martia,bank.mars,bank.mars,martia,195088.4240,2c733933ac40ccd6ee3832a99f41264f0c5be132ef31487c94c8cf6370d12a94
18150,2022-06-10T05:05:04.500,martia,bank.mars,bank.mars,martia,195088.4240,2c733933ac40ccd6ee3832a99f41264f0c5be132ef31487c94c8cf6370d12a94
18146,2022-06-10T04:05:04.000,martia,bank.mars,bank.mars,martia,195066.4543,139729cfbd1907d103ad3b2d7d39fb04d9e8ce03ec0b29a7524c2306ea053377
18141,2022-06-10T03:04:58.500,martia,bank.mars,bank.mars,martia,195069.8381,26f1478fb9ecc327fc3bba82770f2e165c94adc52d03df1d64b7eb9175716180
18136,2022-06-10T02:05:01.500,martia,bank.mars,bank.mars,martia,195065.6802,37986081ab5686f33553cabfe3c6df4425f2ff9f74718354d1c2d3b664260afb
18131,2022-06-10T01:04:58.500,martia,bank.mars,bank.mars,martia,195064.9375,39f0634a7d4c2d673481e4750c1b3a5be3fdf11679700d875a4fbea2370a2d40
18126,2022-06-10T00:07:19.000,martia,bank.mars,bank.mars,martia,195057.6688,a3223f7a33453213672bf140a8cf03a7c0f2d4784b827c5bccd954fef19d662c
