action sequence,time,account,actor,from,to,quantity,txID
9602,2022-03-30T23:05:15.000,martia,bank.mars,bank.mars,martia,191511.7470,2b9e3e76305217e2f368c21bf48f33a12afe62bd7f4c0d1fa7d9dc291f417b1c
9597,2022-03-30T22:07:42.500,martia,bank.mars,bank.mars,martia,191515.7097,7dbefed38468af9c80df5e6d8ed2007a28ab6a7d8c4d2534b734b8c4f6760232
9592,2022-03-30T21:02:56.500,martia,bank.mars,bank.mars,martia,191510.4956,3e43c0228b0531cb82195100a6b36381a7a28862bf2b17a61a97c14ff9e2a148
9587,2022-03-30T20:05:17.500,martia,bank.mars,bank.mars,martia,191510.4469,efd08a23e4e6fc345c1834705616629aa33748f3b0ef456575680e0b54cc7ed9
9582,2022-03-30T19:05:24.500,martia,bank.mars,bank.mars,martia,191510.6014,2ce7b5a4d8c3417f6d5359150ab5071a8884b2b3ec4269c3b0b1a399a6de2a97
9577,2022-03-30T18:05:23.000,martia,bank.mars,bank.mars,martia,191503.2405,3b1e94282219b53c0cd851ea21bd20c456af0e25f5d817d2c6b491c1e3a3dba1
9572,2022-03-30T17:05:20.500,martia,bank.mars,bank.mars,martia,191487.8534,428fac635e7c08971c51002f3fb66e37fe9eefd1eee4aef3ef1f48266ed5a2cd
9567,2022-03-30T16:05:20.500,martia,bank.mars,bank.mars,martia,191473.2977,c968b527b24881f7dc9dff24358453b36c1ab2f7be577c3632ff09ef0fd26bc3
9562,2022-03-30T15:05:20.500,martia,bank.mars,bank.mars,martia,191467.1684,8073dca35e767fdd906821fd2b1d099687a6116186dc1abc745e0cb6f7d7db7a
9557,2022-03-30T14:05:17.000,martia,bank.mars,bank.mars,martia,191437.8563,3948d838f1fc96af5cf663e962ba1aced99b57b89bd66009d4d1a33b27601f3f
9552,2022-03-30T13:05:16.500,martia,bank.mars,bank.mars,martia,191424.0424,53856fe8cf9ba1525f699d444ce90be1263b8f2576afc5d0538fdc49f3b326ab
9547,2022-03-30T12:05:36.000,martia,bank.mars,bank.mars,martia,191422.7602,3a8d321962743f1302925f3e38019b73f0c3804fe9ecc46880c50ce4b10fc7e6
9542,2022-03-30T11:05:19.500,martia,bank.mars,bank.mars,martia,191420.7238,095c90919445e42798dedf771608f9ebc80f21fb0ee0cdd09a9d9b46a0af984e
9537,2022-03-30T10:05:20.500,martia,bank.mars,bank.mars,martia,191419.9614,973d1b9ebc6ebc07a75394b1de094afe84cd3f46419d8d1fa870f1d2f698e0dc
9532,2022-03-30T09:05:17.000,martia,bank.mars,bank.mars,martia,191420.5071,daea48d7330648d0bfef6973dbc4d79f028588e3dfd98440511da35fd7432bad
9527,2022-03-30T08:05:20.000,martia,bank.mars,bank.mars,martia,191423.7460,67d66c75edd6c9c0d357cee6fd16a3b6cab834812d901893f161a2ea369973e1
9522,2022-03-30T07:05:18.000,martia,bank.mars,bank.mars,martia,191414.9692,3bd5858758bc40a28d1e3a37baf5f497d9e3e914825eaaf0d12a570d7b54c5dd
9517,2022-03-30T06:05:21.000,martia,bank.mars,bank.mars,martia,191408.7186,53011db554088c927655ac7a166c2c74e2589c3e8a06ef1238bbf22d328fa291
9512,2022-03-30T05:05:16.000,martia,bank.mars,bank.mars,martia,191404.0931,c7cffca08283633d874b76ac19add07a115d79fdc064b9c3d8297f0c5cb78081
9511,2022-03-30T05:05:16.000,martia,bank.mars,bank.mars,martia,191404.0931,c7cffca08283633d874b76ac19add07a115d79fdc064b9c3d8297f0c5cb78081
9507,2022-03-30T04:05:21.000,martia,bank.mars,bank.mars,martia,191407.2886,3fff4be522c0b8d8e81dba2b8190450cfc0927497659292ab8063b586eedcf97
9502,2022-03-30T03:05:16.500,martia,bank.mars,bank.mars,martia,191409.7175,5b9473999311be53142796a9af2cc6f2e7ea404b08626841332c0c281f8a58c0
9497,2022-03-30T02:05:17.500,martia,bank.mars,bank.mars,martia,191404.0154,473eaadb6071d3754d3dfe61ebdf5654d52e306c52584bbf69aa4c2c2d094b2c
9492,2022-03-30T01:05:18.000,martia,bank.mars,bank.mars,martia,191401.6805,2badb4ec299bfdc6fddd8c28bff01712d6f065f47cedbade5bc2b754893e93d8
9487,2022-03-30T00:05:20.500,martia,bank.mars,bank.mars,martia,191401.5024,8b047aaff4bef3b99be25937d4cebcc2e837d73dff95ecd12883f0fafa9a7231
