action sequence,time,account,actor,from,to,quantity,txID
23042,2022-07-20T23:04:57.500,martia,bank.mars,bank.mars,martia,197112.5286,f3c0e7852aecebd69120ff187f758a97c4ac7e0a31d6eafe9303baae0eb6b060
23037,2022-07-20T22:04:53.000,martia,bank.mars,bank.mars,martia,197113.2689,e308f2f34ebc5f519d5bde7968974e3ef4c14fc7a69b7b8f7907d2ce1fe86d30
23032,2022-07-20T21:05:00.000,martia,bank.mars,bank.mars,martia,197111.8134,34657fcff3894ead1d2e8cd843ca6aa769694210cc7b32431b77e07c8be10dbd
23027,2022-07-20T20:04:55.500,martia,bank.mars,bank.mars,martia,197112.0922,fb564c32b0f7a9a432abedbcae1873af0752e121290b61d44e3f5e6af2904d4c
23022,2022-07-20T19:05:02.000,martia,bank.mars,bank.mars,martia,197114.1778,b93c6cb21107bde722f2839c6661128f908812e1910c93cc5e84eb879cb7517b
23017,2022-07-20T18:04:58.500,martia,bank.mars,bank.mars,martia,197109.5215,5b4555c6179cb49e89c1e30dba8d830fb2306d3398e427c598aa00635a177cc0
23012,2022-07-20T17:04:53.000,martia,bank.mars,bank.mars,martia,197111.6540,df8ad1e07c5365ed630e733ee59f645167ca0626d3a6c64b592ec118a5813115
23007,2022-07-20T16:04:58.500,martia,bank.mars,bank.mars,martia,197110.1824,5d99d91ae680e2282f271efc4fec8c68ac2d0844127d76eb4548b1762ac3f806
23002,2022-07-20T15:04:57.500,martia,bank.mars,bank.mars,martia,197110.1610,0a5989243d8fd46122788777a384dabfb1d6b12a89776ada0d1ddd1516e5062a
22997,2022-07-20T14:04:56.500,martia,bank.mars,bank.mars,martia,197111.0219,e19dd986f85a00add0e879b36cfac6c9fb265488b51b62230fad2f1c9861666e
22992,2022-07-20T13:04:52.000,martia,bank.mars,bank.mars,martia,197114.7266,5d5b4c5283915e3d7f2d5db1002469cc0703a980208036abab543678864c590b
22987,2022-07-20T12:04:58.500,martia,bank.mars,bank.mars,martia,197114.1515,5472132d92007d916f597e76274915c04308e2257917cb0546a81e6b2a91e91f
22982,2022-07-20T11:04:58.500,martia,bank.mars,bank.mars,martia,197114.1296,d8c101ffdda1302b20bb461ed4856f3c83b08d979baaca95524121742fa7df4f
22977,2022-07-20T10:04:51.500,martia,bank.mars,bank.mars,martia,197115.7028,1d0de69eb02dbac7488b21be93b77847d28a57661c8a94ec7a55f2385a7ca96e
22972,2022-07-20T09:04:56.500,martia,bank.mars,bank.mars,martia,197115.5160,0b2646995a91dcdeee663eae333dd1416d3064532a27052f712b556bd9750cf6
22967,2022-07-20T08:04:59.000,martia,bank.mars,bank.mars,martia,197114.5786,49de22bd65da4fc72ae041ba8bb65c01da9a3a30ce601679b81f1d941f06666f
22962,2022-07-20T07:04:56.500,martia,bank.mars,bank.mars,martia,197116.8743,2177bb4739a3c82f9c9db41129f6508c523c3f03da4e449b9e007519b13e78cb
22957,2022-07-20T06:04:57.000,martia,bank.mars,bank.mars,martia,197112.0500,c276d7b8a16d34f6870eba8c87d365805c97170f4a7f232cf8a49e4bcb683f7b
22952,2022-07-20T05:05:02.500,martia,bank.mars,bank.mars,martia,197110.3938,a0c3b163c1a01a148573e3ca9377530f3abcca05060430daa9aee2e7a94a8204
22951,2022-07-20T05:05:02.500,martia,bank.mars,bank.mars,martia,197110.3938,a0c3b163c1a01a148573e3ca9377530f3abcca05060430daa9aee2e7a94a8204
22947,2022-07-20T04:05:03.000,martia,bank.mars,bank.mars,martia,197113.7858,147feaea8738089663c9ddaaaef1b48c0dbebf2fe06853d6989c4de8218c98af
22942,2022-07-20T03:04:57.500,martia,bank.mars,bank.mars,martia,197117.5169,7b5f6e16ba32409e3dc50c5071a8fe910a9f79315ede3dffee3900ecbd6347db
22937,2022-07-20T02:04:56.500,martia,bank.mars,bank.mars,martia,197113.9031,baea276d31e007ac6522d96cf6c623ff3344a250280875f82ecae82eb644d43f
22932,2022-07-20T01:04:52.000,martia,bank.mars,bank.mars,martia,197114.7617,b3fbceb4031ffcd51c4c62564317c4b5157160c40b995076d844a8230d51ffac
22927,2022-07-20T00:04:59.000,martia,bank.mars,bank.mars,martia,197114.5730,48bca7ff953b0c9746f3061fff0eeab24e15ba875d90aa732cb27b6272cb6e49
