action sequence,time,account,actor,from,to,quantity,txID
19921,2022-06-24T23:05:07.000,martia,bank.mars,bank.mars,martia,196366.6347,7618b404c84f4c523a7b4e84bebde78e72b653a36f6c45a21a94cd3fabb2fbb2
19916,2022-06-24T22:05:03.500,martia,bank.mars,bank.mars,martia,196373.3410,e2e771458440bf0331136104b0ffc2194cebf110b8343bd78965b0f59ad2a686
19911,2022-06-24T21:04:58.500,martia,bank.mars,bank.mars,martia,196376.2416,db5e80ae80a18bb7cec880d57d2f1cef33b6936e4f5fc7bdbf15c9d59a9e4650
19906,2022-06-24T20:04:55.500,martia,bank.mars,bank.mars,martia,196379.1068,a60554f465ee7bf626342b9f10b1d83914c513b651b674923702c7d92a8885f8
19901,2022-06-24T19:05:02.000,martia,bank.mars,bank.mars,martia,196379.2578,0ebb7495fa6d5ed107bdda2406e758701966dd7e1e28a7fb0528cde70133de32
19896,2022-06-24T18:04:57.500,martia,bank.mars,bank.mars,martia,196382.8861,902a9c71579c937f162532f968179a872d644b9828d7bb210441c06fe9187fc7
19891,2022-06-24T17:04:59.000,martia,bank.mars,bank.mars,martia,196383.6030,75b8b82c2593e4bee7e56f72c90d88e11624e00b2a026bb618bf583660df3d7e
19886,2022-06-24T16:05:07.000,martia,bank.mars,bank.mars,martia,196381.0845,346839ebce942c14449abfea7f89734f5d0e62422e549cbb670e6b63af7e7c28
19881,2022-06-24T15:05:13.500,martia,bank.mars,bank.mars,martia,196380.9416,557e7ffff4f15333d047182cfc2d432bff494ea414508eb6d5495b0f69a35cd4
19876,2022-06-24T14:04:57.000,martia,bank.mars,bank.mars,martia,196374.9395,970f0b25ae6b3c019281d1bad7e9d94a6172cd466e0efa21052847c4e88fd021
19871,2022-06-24T13:05:01.500,martia,bank.mars,bank.mars,martia,196371.8386,64ae048d32ade5c06b8984465b1dec58492b77a1c8dc1f73ddcca1370b054fdc
19866,2022-06-24T12:05:05.000,martia,bank.mars,bank.mars,martia,196359.0107,5f0094a410f0d7022e7f4a312eed965b10d121a85dadf9831d9efa602b1c6bb3
19861,2022-06-24T11:04:59.500,martia,bank.mars,bank.mars,martia,196349.0381,e390d2b5e983eb44c628e56dc57ad03065ed4becc5ecafa242d242af81d2b385
19856,2022-06-24T10:04:57.000,martia,bank.mars,bank.mars,martia,196350.3134,1ff0c726be53a4302f2cce404be440ff92f84b31476f19354eb1e6544918fb7b
19851,2022-06-24T09:05:03.500,martia,bank.mars,bank.mars,martia,196353.9394,41db41000fbc511c0e9f948d8ea1d9482df6afc0c1724aaa6f94649a19ea9900
19846,2022-06-24T08:05:03.500,martia,bank.mars,bank.mars,martia,196352.7625,87b025df92c65f6aefce7881d86d0227241f154cc156890233826b31378e7f20
19841,2022-06-24T07:05:07.000,martia,bank.mars,bank.mars,martia,196338.7382,0543e6fb48fe62e2f9b9980b1b36e1bd993d2afe32318df802a1c31929226cac
19836,2022-06-24T06:05:04.500,martia,bank.mars,bank.mars,martia,196340.6646,769c7a0df9bfc62ddc7ea99af09e279036a29254f59b376b8af5659ed5ae9e0d
19831,2022-06-24T05:05:01.500,martia,bank.mars,bank.mars,martia,196343.3949,154336c964e9ef1ab185f293ad1fbc4eb592a21390cce33c3070aa771af84ff3
19830,2022-06-24T05:05:01.500,martia,bank.mars,bank.mars,martia,196343.3949,154336c964e9ef1ab185f293ad1fbc4eb592a21390cce33c3070aa771af84ff3
19826,2022-06-24T04:05:01.500,martia,bank.mars,bank.mars,martia,196338.7505,85242e82d1e561976ee90bf5aa2758c9a042d9f9682d1d7bb78ffd0cf3df6f2e
19821,2022-06-24T03:04:59.000,martia,bank.mars,bank.mars,martia,196317.2401,3fb9a940ea8a665a84ce91007f1c890dc7ad00bee92883261b330aeb95c23fcd
19816,2022-06-24T02:05:01.500,martia,bank.mars,bank.mars,martia,196331.8922,3f44bf00dcfcf66eca8e3595bb3250f0b34e6e89d5c0c65674f65b9986739bb0
19811,2022-06-24T01:05:02.500,martia,bank.mars,bank.mars,martia,196314.6883,7b8f0223cd6b2208041c274ea43a4c2c9d4cf9a4f8adb8856e1a98553bb30688
19806,2022-06-24T00:04:55.500,martia,bank.mars,bank.mars,martia,196299.7789,92e4483857d3ad9f5ec8a409539f9fa05361321dbe6b574d9f476df8a8509ec9
