action sequence,time,account,actor,from,to,quantity,txID
22082,2022-07-12T23:04:55.500,martia,bank.mars,bank.mars,martia,196970.9555,02613c1dc3559b273ba62d98bb69834c579d3d2f7e6d41e0b647838136b1cd6e
22077,2022-07-12T22:04:57.500,martia,bank.mars,bank.mars,martia,196976.1017,dcb2e2072fa9f572f0fe8800da846cf1558f0379af6f10c7a6605bdca4a46523
22072,2022-07-12T21:04:56.500,martia,bank.mars,bank.mars,martia,196970.1000,a9d9275bb4692d08a73f2ac2e2c7b913c422bbe9eca1c6187b77626cfa6dba90
22067,2022-07-12T20:04:58.500,martia,bank.mars,bank.mars,martia,196970.8033,afb2f088145c2add2c7dec50f12b3e589889b45f20aa17ea00d780fab657d7a7
22062,2022-07-12T19:04:57.000,martia,bank.mars,bank.mars,martia,196975.1483,4a5c5ae2b788a66843a6b19015f8d5db754f5226f06b3aebdf7aeba0d3afa0d4
22057,2022-07-12T18:04:56.500,martia,bank.mars,bank.mars,martia,196945.8117,fc9c3a99cad04dfbaee25e5d77dbb9d40ce04264948ea88fc10d71595c3e0adc
22052,2022-07-12T17:04:56.500,martia,bank.mars,bank.mars,martia,196940.5332,2ae3de0d056cc4beefc4ee66d41737f74af7fb4ab735a74126092706d9fa429f
22047,2022-07-12T16:04:57.500,martia,bank.mars,bank.mars,martia,196940.3007,a343e2ebefef800eb74b3747c0870c5bae06bc1c59767acbbb1ceb08fb601fab
22042,2022-07-12T15:05:01.500,martia,bank.mars,bank.mars,martia,196928.0322,702bd1aa6447cdef0010f39b4f788af3d4c6b0dd186efe993f76e2f1c97cf9c2
22037,2022-07-12T14:04:53.000,martia,bank.mars,bank.mars,martia,196926.3568,d2771d49a72dd9d184b01f88ce535b53ef01f19cb668a87f5df50c8af08a92ae
22032,2022-07-12T13:04:56.000,martia,bank.mars,bank.mars,martia,196927.5725,473ed536182670fe873a2ce453a7216666edd8f4d3d242fc8541f16ca8707d19
22027,2022-07-12T12:04:56.000,martia,bank.mars,bank.mars,martia,196928.1271,c5bbe4b9a86df87aafa0b5d8a611773faaacd916b1ab8b856edb5dc6c7aa5180
22022,2022-07-12T11:04:52.500,martia,bank.mars,bank.mars,martia,196920.3525,d167848c5b296cf9b437f54701571fdc83464ce8e51f894939945af1d9906aea
22017,2022-07-12T10:04:57.000,martia,bank.mars,bank.mars,martia,196908.2184,7faf70f042ac7c4121a5fdf04a64f017a7ecfbf95fffccd6638a5cc5a5ec4fb5
22012,2022-07-12T09:04:55.500,martia,bank.mars,bank.mars,martia,196909.5803,e8f812afc194070d5bc5eaa16747644d63bdf2e9a6b8ea90a3de29f056e7bfec
22007,2022-07-12T08:04:55.500,martia,bank.mars,bank.mars,martia,196908.0679,ed2c0868669f83b31f0aedcdc36ccc94af800e55faa5de8f5be48ea45ad82bb6
22002,2022-07-12T07:04:57.000,martia,bank.mars,bank.mars,martia,196907.0785,0be1802e12e441fb66e6a815787f4e5052b08dee567a626dacee758352c46a91
21997,2022-07-12T06:04:56.000,martia,bank.mars,bank.mars,martia,196904.1233,c8ab3f0a67d8887fcae3ef5fac0b89145228ac5c60255b77966fe443e7151834
21992,2022-07-12T05:04:57.500,martia,bank.mars,bank.mars,martia,196903.1658,bf896d6a7bd94260f8b9e478cf8ed2e694378ae98d6978e745b18f6daced1cad
21991,2022-07-12T05:04:57.500,martia,bank.mars,bank.mars,martia,196903.1658,bf896d6a7bd94260f8b9e478cf8ed2e694378ae98d6978e745b18f6daced1cad
21987,2022-07-12T04:04:55.500,martia,bank.mars,bank.mars,martia,196908.0195,f88c14fcc88ca0e19979374dd8da795adba1ce2045fde99ceb2507ad63a71973
21982,2022-07-12T03:04:56.000,martia,bank.mars,bank.mars,martia,196908.2486,3e8ba415ea1f39836ce4b345d54fa7631207787d5794b52129504e8b30dc44b9
21977,2022-07-12T02:04:55.500,martia,bank.mars,bank.mars,martia,196908.1770,48259d5671b8cd27a2512e065e370903bc6b5778131b18450a003e2d8226150a
21972,2022-07-12T01:04:52.000,martia,bank.mars,bank.mars,martia,196911.8363,d340c6f40781be3964e297ca1988f0bf35548c223ea43c0a860a82275805d285
21967,2022-07-12T00:04:57.500,martia,bank.mars,bank.mars,martia,196903.6311,400e999f7e9910a90cbbdbf904dae80d9f7ce2dda5aa78668a9acf40ca71ea20
