action sequence,time,account,actor,from,to,quantity,txID
14403,2022-05-09T23:05:04.500,martia,bank.mars,bank.mars,martia,193902.1078,704e515c8089847bc3a2e78be4bbe30c69e39a17b636970fc1091d5302638534
14398,2022-05-09T22:05:20.000,martia,bank.mars,bank.mars,martia,193904.3751,6dab98f866ac146de34f61bf4c01477c577a9bba2016a834bc2b364153e1c750
14393,2022-05-09T21:05:18.500,martia,bank.mars,bank.mars,martia,193904.7371,c515186a4a7ae60c33ef9dc506cb842139a8303ab271de6c44137ff91976eb2e
14388,2022-05-09T20:05:08.000,martia,bank.mars,bank.mars,martia,193896.1836,b07c02b667ecae09d5a0b613f260f06f12c779a5ea46515b31721a8e073e8eed
14383,2022-05-09T19:07:24.000,martia,bank.mars,bank.mars,martia,193891.4425,e8ed35ef2725250492f479c7919575e2f37ea26850b4be1aafe29df5de30e4a1
14381,2022-05-09T18:47:51.000,martia,bank.mars,bank.mars,martia,193893.2800,9cd6283873e6f5ec7f1c2bb9f4eb4b39c31cb8b860a190f6f7f5aff023a5b1ee
14379,2022-05-09T18:45:04.000,martia,bank.mars,bank.mars,martia,193897.3852,d2a1eea67a254682c44c1525e855707492311c9896a96296a4ed20e2c26658c8
14377,2022-05-09T18:37:41.500,martia,bank.mars,bank.mars,martia,193899.0621,9f11c2a8e72cc92dd41e1e45750055dab6f6320048b00db4fb1140ca69fec4e3
14375,2022-05-09T18:35:01.500,martia,bank.mars,bank.mars,martia,193900.7389,104c77ed48c2779fa21c6ef60035193ed5c455af03ea9f54dcce76927a54da55
14370,2022-05-09T18:27:43.000,martia,bank.mars,bank.mars,martia,193904.1391,64441294ed4ce570df5f69addec61881bac3c16bde64e0b64c48f7febe85fc69
14368,2022-05-09T18:24:56.000,martia,bank.mars,bank.mars,martia,193908.2238,8d0e1d921b8bc0e51554e523bd662d3a53b25fe36a3137b15b47f985bb56ac3f
14366,2022-05-09T18:17:44.000,martia,bank.mars,bank.mars,martia,193910.6463,06ddc84ec29e515516572e8643fa47c731f9b3947d01440fa3bfbf7ccc37d316
14364,2022-05-09T18:14:52.000,martia,bank.mars,bank.mars,martia,193914.7310,ca92a803b79802549e240acd01ea22968c74d86d64a4744eed4d4c9bb4f71727
14362,2022-05-09T18:07:39.500,martia,bank.mars,bank.mars,martia,193911.0170,c97e87d877305640ec5bd3b2b428dd3cfc64b6243d63528216f4e680e94459a8
14360,2022-05-09T18:04:54.000,martia,bank.mars,bank.mars,martia,193915.1629,e30fabd17dcb0908929b45415f0d70163f10e323aea040666c21c245e2b10341
14349,2022-05-09T17:57:45.500,martia,bank.mars,bank.mars,martia,193916.9136,c9246c18455bff608dd304d6a7b769dbb18316bb21ae2d895e4b069a6e1d2ef7
14332,2022-05-09T17:52:44.500,martia,bank.mars,bank.mars,martia,193921.3046,e3722a7c218620afc4b8c6cdf8e29897d37da1a258d5d2bf608f9b35026787f1
14312,2022-05-09T17:05:21.500,martia,bank.mars,bank.mars,martia,193920.1344,19938bf240dbebe8a16ca349166fe5effe2ab8c76f82053242c1cfbe73f45493
14311,2022-05-09T17:05:21.500,martia,bank.mars,bank.mars,martia,193920.1344,19938bf240dbebe8a16ca349166fe5effe2ab8c76f82053242c1cfbe73f45493
14307,2022-05-09T16:05:27.000,martia,bank.mars,bank.mars,martia,193912.4591,783fbc4739a90f51a09e6cb82d309620939a3676bf445cb84197c792cfe093b2
14302,2022-05-09T15:05:23.500,martia,bank.mars,bank.mars,martia,193887.2182,a5d56cd7fc0b405ce856b0187b5a6e557204bb625f3e3507e73248130a8051be
14297,2022-05-09T14:03:11.500,martia,bank.mars,bank.mars,martia,193879.2585,fbdf539a8d1e809d539e8d240de5e97abb9703475a031fdc531f1ccd6119f199
14292,2022-05-09T13:02:52.500,martia,bank.mars,bank.mars,martia,193871.7126,c7a5959b27403e4a24156c9bf28b4ac3cde0c29eafaa16fd838b130e1f8a6d9c
14287,2022-05-09T12:04:53.000,martia,bank.mars,bank.mars,martia,193872.2951,a9692289e047e3efa753c8dabc25d8cc4f4d779a14cb3801a26e53c41930308f
14282,2022-05-09T11:05:00.000,martia,bank.mars,bank.mars,martia,193874.0300,d50b3a155bf3b69d5748bd49852380478a7dafed2b2979abd474be8b8e5db97d
14277,2022-05-09T10:02:52.000,martia,bank.mars,bank.mars,martia,193873.5479,3a9ef468221dd1a789b87c0fc887bdd79e991b273f91da9a4f8e86491019283e
14272,2022-05-09T09:11:20.000,martia,bank.mars,bank.mars,martia,193875.4535,6057cf8168884640fbf993ced4441c365873cba2a4849ee2caf7191cc28ef7fb
14261,2022-05-09T05:10:06.500,martia,bank.mars,bank.mars,martia,193863.0580,9237289f9f386c5b462cbd2074d467b868ec113ba5d24bb85284af39df03bd8f
14259,2022-05-09T03:15:15.500,martia,bank.mars,bank.mars,martia,193863.1844,f75f4df8af39bc621122c254f74e1b054a910d0aabb5931c60c2fcebada2374d
14257,2022-05-09T02:12:59.500,martia,bank.mars,bank.mars,martia,193879.9622,e9aa41e5519ccb5dbc1f3d44662631bda05e2879cf9d0c400ab5191d6546d56c
14252,2022-05-09T01:20:24.500,martia,bank.mars,bank.mars,martia,193884.1028,2675a75af138ee84a977a8daaeab8e296ab8d8acb462317e1cefe1c28f29e9cd
