action sequence,time,account,actor,from,to,quantity,txID
20281,2022-06-27T23:04:55.000,martia,bank.mars,bank.mars,martia,196446.8534,df004776ea4db94312268304c6058aabbb7dd04a1d97748333c7c414db9e2033
20276,2022-06-27T22:04:58.500,martia,bank.mars,bank.mars,martia,196439.0940,b4f7cd98805423847fcd3964c53339f43c78bc6f641881a61e64524475bdec64
20271,2022-06-27T21:05:03.500,martia,bank.mars,bank.mars,martia,196438.3659,d871edd53f4cfb82049ef1aed1d007d2893c5089b66d6776d26b5f988de4533f
20266,2022-06-27T20:04:55.000,martia,bank.mars,bank.mars,martia,196439.6587,c7c7fa3c474e5ef482de413873ec4524781db080c5b215f760b767cc08e8d8a2
20261,2022-06-27T19:04:59.500,martia,bank.mars,bank.mars,martia,196439.6696,526d05bbae2393546390fd224c7d929b55466d26a50254c71c2d4473415d4405
20256,2022-06-27T18:04:57.000,martia,bank.mars,bank.mars,martia,196440.8914,2c8edf7d368df3108a9b8f921c83d86cdf81c9bbcfa6a6733c4a079cff83f0f5
20251,2022-06-27T17:04:53.500,martia,bank.mars,bank.mars,martia,196436.5315,0a7d5c0fbec5f558ada5a086a2a9e4b3f35b59715311275b78f8c254b76aa020
20246,2022-06-27T16:04:57.500,martia,bank.mars,bank.mars,martia,196437.0640,bc17884c3bd58157444d4637af9cc92ecdce38634a367db7c29a93510b3f5c6c
20241,2022-06-27T15:04:56.000,martia,bank.mars,bank.mars,martia,196436.8973,91b5802484835f5745fe0e1366fe367cd6c9ccf17014a34944c5a0c5adab2adb
20236,2022-06-27T14:05:03.000,martia,bank.mars,bank.mars,martia,196439.6173,cef4c5de05f9c62dc13d64cff5deca158b90cb59b60b1e64966f5bd9979351af
20231,2022-06-27T13:04:57.500,martia,bank.mars,bank.mars,martia,196440.8560,67b49913c8af0cf2d58d325a36603ea6c67c46fba62208af2fdc5550c5e31f00
20226,2022-06-27T12:05:00.500,martia,bank.mars,bank.mars,martia,196442.1148,1a9431a4e74f5ba4c57d22af159fd6c962aa78c9c13a2e8f1a35176ce4cb8cf1
20221,2022-06-27T11:04:59.500,martia,bank.mars,bank.mars,martia,196445.4202,7927d1851b50e388ac4b871825c10a99514d6acd5c56bfb6cc638cdf7f923e53
20216,2022-06-27T10:04:59.000,martia,bank.mars,bank.mars,martia,196467.7926,aa4a8e015c849bd261de68d63a3c4213a4dd0d33c2f1ee506bb8447140687786
20211,2022-06-27T09:04:56.000,martia,bank.mars,bank.mars,martia,196468.7946,7bdfab50e08fc4b70e08dc431a1827e49fe6cd6fc39f16d4afcbbee57a99bac4
20206,2022-06-27T08:05:05.000,martia,bank.mars,bank.mars,martia,196471.5431,199b4e47a21ce6b70f0487b534f5b24fd900bb0e9577d3d650bcc95a7fe60ef5
20201,2022-06-27T07:05:07.500,martia,bank.mars,bank.mars,martia,196459.9732,7666258b3f5f3741897f192ca07dc793a29688adc748d5d39d6e9b4d9310d8e2
20196,2022-06-27T06:04:56.000,martia,bank.mars,bank.mars,martia,196462.2793,a4285a3de7e87d11c7043d13403c312a00f444a9d97ec9d3e4cfce77bb5754dd
20191,2022-06-27T05:05:02.000,martia,bank.mars,bank.mars,martia,196463.0103,a813ac760210885db8be8a5d150e139c330f36c07fa3d4284668491ead7caa1f
20190,2022-06-27T05:05:02.000,martia,bank.mars,bank.mars,martia,196463.0103,a813ac760210885db8be8a5d150e139c330f36c07fa3d4284668491ead7caa1f
20186,2022-06-27T04:04:57.000,martia,bank.mars,bank.mars,martia,196463.0142,48037d5f1063aa5af118b965247c69412a92568f0c4dcf12340767701b8f2a8d
20181,2022-06-27T03:04:59.500,martia,bank.mars,bank.mars,martia,196463.5784,3667b321927bea22e14f4e1140732eb041be3b9c488e7306622c4e94e554f17c
20176,2022-06-27T02:04:53.000,martia,bank.mars,bank.mars,martia,196465.7629,8fb20a07f8e14baebdbcfd13d4334603ad3c74d1d13d606624eda3d475265575
20171,2022-06-27T01:05:01.500,martia,bank.mars,bank.mars,martia,196467.7807,9c7aa74ce3f02ac1fa08fc63a4c83a9bfe77e445ad3f2e736a09a0c679315dd8
20166,2022-06-27T00:05:02.000,martia,bank.mars,bank.mars,martia,196465.9969,0f3c9a8719564630fdeecbaaa01fca96a30b1bfb868174bab782fe3d84b5a9cf
