action sequence,time,account,actor,from,to,quantity,txID
8148,2022-03-18T23:05:15.000,martia,bank.mars,bank.mars,martia,189964.5360,e5cdd53b19c261bdcd54c139448dbf67aeb09d1c10a073d2a832bb97611ea91e
8143,2022-03-18T22:05:16.500,martia,bank.mars,bank.mars,martia,189962.3464,a3e43e29223f52b65f6f7ea24d03002736c28555671eda709162df582f0279b3
8138,2022-03-18T21:05:18.000,martia,bank.mars,bank.mars,martia,189936.0150,469e100bda3523dc7cc9a63c7323c33fc0cf23ae7e98c9b2b1e34c902b28aa9c
8133,2022-03-18T20:05:25.000,martia,bank.mars,bank.mars,martia,189938.4049,39c9838d19f0ecd1c6455e6c29c72e8c3401dd7e37e7b378e7ea2a9cab94bbdf
8128,2022-03-18T19:05:12.500,martia,bank.mars,bank.mars,martia,189935.0570,e7b4cf1b3d38ee320ef3d305473315303e24ab840e053a89a8416adefab5265c
8123,2022-03-18T18:05:17.500,martia,bank.mars,bank.mars,martia,189932.8388,9d61005d423f7db2c9b6d64773a8e284eaf9d4456cd6a66299bf1ebc13436621
8118,2022-03-18T17:05:15.500,martia,bank.mars,bank.mars,martia,189917.5966,eb44f6d870a85c5111c35588cfab28bdea20e4e68aa74ea4141451d0f51262b2
8113,2022-03-18T16:05:14.000,martia,bank.mars,bank.mars,martia,189912.3539,d8b9d12037e696e00fd8eee2ef51b110d1a53aa8c1eef67f7e007d20331d9a7a
8108,2022-03-18T15:05:14.000,martia,bank.mars,bank.mars,martia,189918.6167,6004c4cff4e9de75370ccd443a6e4db3ef79a8a8f1e68c2f6986551d70bf8da5
8103,2022-03-18T14:05:30.500,martia,bank.mars,bank.mars,martia,189915.9768,dd6760366cba06b50b7b6fb47b8d69e5dc3b83d22bfbea6db4128bad23e02e92
8098,2022-03-18T13:05:17.500,martia,bank.mars,bank.mars,martia,189896.3231,e942f0f125bd0bc7297045ae9f1efd26dd36104195cd77156f24765145360c9e
8093,2022-03-18T12:05:14.000,martia,bank.mars,bank.mars,martia,189887.2253,c2778e9f4c5b1fafc195479058b7a4f273b577ae5b1121604f14f5c6ffb2e342
8088,2022-03-18T11:05:13.500,martia,bank.mars,bank.mars,martia,189884.6181,2282c5cb8c840c67385550a90176ecfffc67cb92e88a031e252aa27a89469a4a
8083,2022-03-18T10:05:11.000,martia,bank.mars,bank.mars,martia,189878.9470,1f1043b18d58a80817c2afea37c9af8739ba2c1b5a3f38602edd6e4d4c1c3b24
8078,2022-03-18T09:05:14.000,martia,bank.mars,bank.mars,martia,189846.2185,ced818d1e079c830c50b98dc99c80e27322a3a2fb3a20cb1fce2314f8af4c260
8073,2022-03-18T08:05:11.000,martia,bank.mars,bank.mars,martia,189845.2632,10523f3054161087d4fac0a6fc655305fac3a437c55c4d5ca283c2b33635e983
8068,2022-03-18T07:05:17.500,martia,bank.mars,bank.mars,martia,189846.0603,5dbb70660e68bb7571c5b4caff9d0cc17e98dcbf0f692832b8117dc0deca9218
8063,2022-03-18T06:05:17.000,martia,bank.mars,bank.mars,martia,189843.1632,13cba5daa0e42d6d43fcd09450cc7f609ab3e721ca9bae0fe998dabd53818638
8058,2022-03-18T05:05:15.500,martia,bank.mars,bank.mars,martia,189841.3029,c67729267c859d8146d9cad496250a4792b26153941844c33e9bed205efd73f8
8057,2022-03-18T05:05:15.500,martia,bank.mars,bank.mars,martia,189841.3029,c67729267c859d8146d9cad496250a4792b26153941844c33e9bed205efd73f8
8053,2022-03-18T04:05:19.500,martia,bank.mars,bank.mars,martia,189842.8734,9cb5a424ecff70c0fa95785eb381300b64c58c7ef5a9155de9e004ddaec74820
8048,2022-03-18T03:05:29.000,martia,bank.mars,bank.mars,martia,189846.7418,9bd22243a5d1ec6369d9d14b3bd65f0314912e51a65a09a8d5e130c44035cb96
8043,2022-03-18T02:05:35.000,martia,bank.mars,bank.mars,martia,189844.1311,f9cb77f59b9b601b67601143d1d9322db25db0a0dbb2d82637051da274bed500
8038,2022-03-18T01:05:17.000,martia,bank.mars,bank.mars,martia,189847.1456,1ee2d9a844129aff7ef6dfd903dae417ecdda880378426bce0df41429b996d6d
8033,2022-03-18T00:05:32.500,martia,bank.mars,bank.mars,martia,189850.8916,d737c62ae4f025829c145ea90820f2eada89e4bc423feef52bd164ba9ce52eae
