address,Card Name,Mission,Standard,Shadow,Stainless Steel,Gold,Dark Matter,Ownership,Staking Weight
dczew.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
aefwinenmars,ZFT League of Martians,Community Patch,,,,,,,0.00
m22he.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
arqondesign2,ZFT League of Martians,Community Patch,,,,,,,0.00
jmax.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
b12wk.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
a.cxi.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
alljasar1123,ZFT League of Martians,Community Patch,,,,,,,0.00
andreabads11,ZFT League of Martians,Community Patch,,,,,,,0.00
wtkgw.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
5a5us.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
x4hx.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
angnftholder,ZFT League of Martians,Community Patch,,,,,,,0.00
archaprarqon,ZFT League of Martians,Community Patch,,,,,,,0.00
5gjeu.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
asbhm.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
captawesome4,ZFT League of Martians,Community Patch,,,,,,,0.00
misfs.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
gqqv4.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
..bwc.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
.33he.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
arqonchino1o,ZFT League of Martians,Community Patch,,,,,,,0.00
.wmwy.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
lz5he.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
dcorzrivera1,ZFT League of Martians,Community Patch,,,,,,,0.00
csjtrading1o,ZFT League of Martians,Community Patch,,,,,,,0.00
ezyh2.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
mlrhm.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
qr3wu.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
q2bus.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
waugw.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
gp1wy.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
ezcgy.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
nftrichpanxd,ZFT League of Martians,Community Patch,,,,,,,0.00
gp1wu.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
yw2bc.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
zqggc.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
wmqxs.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
mrcba.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
